Plot ID,PPW1317,,,,Sampler(s),"MFO, MJK, PDP",,,Date ,20150404
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEGAR,8,,24,,,,,,
A1,UMBCAL,0,,1,,,,,,
A1,QUEDOU,0,,1,,,,,,
B1,QUEGAR,31,,41,,,,,,
B1,UMBCAL,0,,1,,,,,,
A2,QUEGAR,2,,13,,,,,,
B2,QUEGAR,2,,15,,,,,,
B2,QUEKEL,0,,1,,,,,,
B2,QUEAGR,0,,1,,,,,,
B3,QUEGAR,2,,9,,,,,,
B3,UMBCAL,0,,1,,,,,,
B3,QUEAGR,0,,1,,,,,,
A3,QUEGAR,2,,7,,,,,,
A3,AESCAL,0,,1,,,,,,
B4,QUEGAR,2,,6,,,,,,
C4,QUEGAR,2,,8,,,,,,
A4,QUEGAR,10,,18,,,,,,
C3,QUEGAR,0,,6,,,,,,
C3,AESCAL,0,,1,,,,,,
C3,QUEKEL,1,,0,,,,,,
C2,QUEGAR,1,,8,,,,,,
C2,AESCAL,0,,1,,,,,,
C2,QUEDOU,1,,0,,,,,,
C2,UMBCAL,0,,1,,,,,,
C1,QUEGAR,0,,3,,,,,,
D4,UMBCAL,0,,1,,,,,,
D3,AESCAL,0,,1,,,,,,
D2,QUEGAR,0,,3,,,,,,
D2,AESCAL,0,,1,,,,,,
D1,QUEGAR,0,,9,,,,,,
D1,QUEDOU,1,,0,,,,,,
