Plot ID,PPW1319,,,,Sampler(s),"MFO, MJK, PDP, VAF, LEH, GA",,,Date ,20150404
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,QUEKEL,0,,1,,,,,,
D1,QUEAGR,1,,0,,,,,,
C1,QUEAGR,2,,2,,,,,,
C1,QUEGAR,0,,2,,,,,,
C1,UMBCAL,0,,2,,,,,,
C2,QUEAGR,0,,2,,,,,,
C2,PSEMEN,0,,2,,,,,,
C2,UMBCAL,0,,2,,,,,,
B1,QUEAGR,3,,4,,,,,,
B1,UMBCAL,1,,6,,,,,,
A1,QUEAGR,2,,2,,,,,,
A1,UMBCAL,2,,2,,,,,,
A1,QUEGAR,2,,2,,,,,,
A1,QUEKEL,2,,0,,,,,,
A2,UMBCAL,7,,1,,,,,,
A2,QUEAGR,2,,1,,,,,,
A2,QUEKEL,5,,5,,,,,,
A2,QUEGAR,14,,8,,,,,,
B2,UMBCAL,3,,3,,,,,,
B2,QUEAGR,0,,1,,,,,,
B3,UMBCAL,0,,3,,,,,,
B3,QUEAGR,0,,3,,,,,,
A3,QUEGAR,1,,14,,,,,,
A3,QUEKEL,0,,1,,,,,,
A3,QUEAGR,1,,1,,,,,,
A3,UMBCAL,1,,1,,,,,,
A3,ARBMEN,0,,2,,,,,,
A4,QUEKEL,0,,1,,,,,,
A4,UMBCAL,3,,0,,,,,,
A4,PSEMEN,0,,1,,,,,,
B4,UMBCAL,1,,8,,,,,,
C4,UMBCAL,1,,3,,,,,,
C4,QUEGAR,1,,1,,,,,,
C4,QUEAGR,0,,1,,,,,,
D4,PSEMEN,1,,0,,,,,,
D4,QUEGAR,1,,0,,,,,,
D4,UMBCAL,1,,0,,,,,,
D4,QUEAGR,0,,1,,,,,,
D3,QUEGAR,0,,6,,,,,,
D3,UMBCAL,1,,2,,,,,,
D3,QUEAGR,1,,0,,,,,,
D2,QUEAGR,0,,1,,,,,,
D2,PSEMEN,1,,0,,,,,,
C3,QUEGAR,0,,2,,,,,,
C3,QUEAGR,1,,2,,,,,,
C3,UMBCAL,0,,1,,,,,,
