Plot ID,PPW1320,,,,Sampler(s),"MFO,PPD,ASC,NJP",,,Date ,20150520
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,HETARB,0,,1,,,,,,
A1,UMBCAL,0,,3,,,,,,
A1,FRACAL,1,,20,,,,,,
A1,QUEGAR,1,,0,,,,,,
A2,FRACAL,1,,4,,,,,,
A2,UMBCAL,0,,3,,,,,,
A2,PSEMEN,1,,2,,,,,,
A3,UMBCAL,0,,3,,,,,,
A3,QUEGAR,0,,1,,,,,,
A3,FRACAL,1,,1,,,,,,
A4,FRACAL,0,,2,,,,,,
A4,UMBCAL,0,,2,,,,,,
B4,FRACAL,1,,0,,,,,,
B4,UMBCAL,0,,1,,,,,,
B3,FRACAL,2,,1,,,,,,
B3,UMBCAL,0,,4,,,,,,
B3,PSEMEN,2,,2,,,,,,
B3,QUEAGR,0,,2,,,,,,
B2,FRACAL,1,,3,,,,,,
B2,UMBCAL,0,,2,,,,,,
B2,PSEMEN,1,,1,,,,,,
B2,HETARB,0,,1,,,,,,
B2,QUEAGR,0,,1,,,,,,
B1,FRACAL,1,,9,,,,,,
B1,PSEMEN,1,,0,,,,,,
B1,QUEAGR,0,,2,,,,,,
B1,UMBCAL,0,,2,,,,,,
C4,PSEMEN,0,,3,,,,,,
C4,UMBCAL,1,,1,,,,,,
C3,PSEMEN,6,,6,,,,,,
C3,UMBCAL,0,,5,,,,,,
C3,FRACAL,0,,2,,,,,,
C3,QUEAGR,0,,1,,,,,,
C3,QUEGAR,0,,1,,,,,,
C2,UMBCAL,0,,3,,,,,,
C2,PSEMEN,2,,2,,,,,,
C2,FRACAL,0,,1,,,,,,
C1,UMBCAL,0,,11,,,,,,
C1,PSEMEN,0,,4,,,,,,
C1,FRACAL,0,,3,,,,,,
D1,UMBCAL,1,,2,,,,,,
D1,FRACAL,0,,1,,,,,,
D1,QUEAGR,0,,1,,,,,,
D2,UMBCAL,0,,1,,,,,,
D2,PSEMEN,1,,5,,,,,,
D2,QUEAGR,0,,1,,,,,,
D2,FRACAL,0,,2,,,,,,
D3,PSEMEN,2,,6,,,,,,
D3,UMBCAL,0,,2,,,,,,
D4,PSEMEN,2,,8,,,,,,
D4,UMBCAL,0,,5,,,,,,
D4,HETARB,1,,0,,,,,,
