Plot ID,PPW1328,,,,Sampler(s),"MFO,PDP,ASC,NJP",,,Date ,20150519
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B1,UMBCAL,0,,3,,,,,,
B1,PSEMEN,36,,30,,,,,,
B1,FRACAL,4,,1,,,,,,
B1,HETARB,0,,2,,,,,,
B1,QUEGAR,1,,0,,,,,,
A1,PSEMEN,29,,8,,,,,,
A1,FRACAL,10,,2,,,,,,
A1,QUEAGR,4,,0,,,,,,
A1,UMBCAL,0,,1,,,,,,
B2,PSEMEN,36,,11,,,,,,
B2,FRACAL,1,,0,,,,,,
A2,PSEMEN,23,,44,,,,,,
A2,FRACAL,1,,2,,,,,,
A2,QUEAGR,2,,3,,,,,,
B3,PSEMEN,19,,17,,,,,,
B3,QUEAGR,0,,2,,,,,,
B3,FRACAL,6,,4,,,,,,
B3,UMBCAL,0,,1,,,,,,
A3,PSEMEN,15,,20,,,,,,
A3,FRACAL,5,,8,,,,,,
A3,QUEAGR,0,,2,,,,,,
A3,UMBCAL,0,,1,,,,,,
B4,PSEMEN,8,,11,,,,,,
B4,QUEAGR,1,,3,,,,,,
B4,FRACAL,1,,7,,,,,,
A4,PSEMEN,9,,8,,,,,,
A4,QUEAGR,0,,1,,,,,,
A4,FRACAL,6,,8,,,,,,
A4,ARBMEN,0,,2,,,,,,
A4,UMBCAL,1,,1,,,,,,
C4,PSEMEN,5,,7,,,,,,
C4,UMBCAL,0,,3,,,,,,
C4,FRACAL,4,,4,,,,,,
C4,HETARB,1,,0,,,,,,
C4,QUEAGR,0,,6,,,,,,
D4,PSEMEN,6,,11,,,,,,
D4,QUEAGR,2,,3,,,,,,
D4,QUEDOU,0,,1,,,,,,
D4,UMBCAL,2,,1,,,,,,
D4,FRACAL,0,,4,,,,,,
C3,PSEMEN,16,,23,,,,,,
C3,QUEAGR,0,,2,,,,,,
C3,FRACAL,9,,17,,,,,,
C3,UMBCAL,0,,4,,,,,,
D3,PSEMEN,11,,10,,,,,,
D3,FRACAL,1,,7,,,,,,
D3,UMBCAL,0,,2,,,,,,
D3,QUEAGR,1,,1,,,,,,
C2,PSEMEN,27,,32,,,,,,
C2,FRACAL,2,,3,,,,,,
C2,QUEAGR,1,,1,,,,,,
D2,PSEMEN,36,,15,,,,,,
D2,QUEAGR,1,,3,,,,,,
D2,UMBCAL,0,,3,,,,,,
D2,FRACAL,1,,6,,,,,,
C1,PSEMEN,49,,59,,,,,,
C1,HETARB,0,,1,,,,,,
D1,PSEMEN,41,,14,,,,,,
D1,HETARB,0,,1,,,,,,
D1,FRACAL,4,,0,,,,,,
D1,QUEAGR,1,,0,,,,,,
