Plot ID,PPW1329,,,,Sampler(s),"MFO,PDP",,,Date ,20150518
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A2,QUEGAR,0,,1,,,,,,
A4,UMBCAL,0,,1,,,,,,
A4,QUEAGR,1,,1,,,,,,
A4,QUEGAR,1,,6,,,,,,
B4,QUEGAR,1,,0,,,,,,
B4,QUEDOU,0,,1,,,,,,
B1,QUEAGR,1,,0,,,,,,
C2,QUEAGR,0,,1,,,,,,
C3,UMBCAL,0,,3,,,,,,
C3,QUEGAR,0,,1,,,,,,
C4,UMBCAL,0,,2,,,,,,
C4,QUEGAR,6,,5,,,,,,
C4,QUEDOU,2,,1,,,,,,
D4,UMBCAL,0,,3,,,,,,
D4,QUEGAR,0,,1,,,,,,
D2,UMBCAL,0,,1,,,,,,
D2,QUEAGR,3,,2,,,,,,
D1,PSEMEN,0,,1,,,,,,
D1,QUEAGR,1,,1,,,,,,
