Plot ID,PPW1333,,,,Sampler(s),"MFO,PDP,RLO",,,Date ,20150521
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,4,,24,,,,,,
A1,QUEAGR,0,,1,,,,,,
A2,UMBCAL,3,,55,,,,,,
B1,UMBCAL,1,,26,,,,,,
C4,UMBCAL,0,,18,,,,,,
C4,QUEGAR,0,,4,,,,,,
C3,UMBCAL,0,,22,,,,,,
C2,UMBCAL,2,,20,,,,,,
C2,QUEGAR,1,,1,,,,,,
B2,UMBCAL,1,,37,,,,,,
B2,QUEAGR,0,,1,,,,,,
C1,UMBCAL,1,,16,,,,,,
C1,AESCAL,0,,1,,,,,,
A3,UMBCAL,3,,25,,,,,,
A3,QUEGAR,0,,3,,,,,,
A4,UMBCAL,0,,2,,,,,,
A4,QUEAGR,0,,1,,,,,,
B4,UMBCAL,0,,25,,,,,,
B4,QUEGAR,0,,8,,,,,,
D4,UMBCAL,0,,16,,,,,,
D4,QUEGAR,0,,1,,,,,,
D3,UMBCAL,1,,10,,,,,,
D3,QUEGAR,1,,2,,,,,,
D2,UMBCAL,0,,16,,,,,,
D2,QUEGAR,2,,3,,,,,,
B3,UMBCAL,1,,44,,,,,,
D1,UMBCAL,1,,6,,,,,,
D1,QUEGAR,0,,1,,,,,,
