Plot ID,PPW1334,,,,Sampler(s),"MFO, MJK, PDP, RLO, URAP",,,Date ,20150404
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B1,QUEGAR,0,,5,,,,,,
B1,QUEKEL,0,,1,,,,,,
C1,AESCAL,0,,8,,,,,,
C1,QUEGAR,0,,2,,,,,,
D1,AESCAL,0,,3,,,,,,
D1,QUEGAR,0,,1,,,,,,
D2,AESCAL,0,,5,,,,,,
C2,AESCAL,0,,2,,,,,,
B2,QUEAGR,0,,1,,,,,,
A2,QUEAGR,0,,1,,,,,,
A2,UMBCAL,0,,1,,,,,,
A2,QUEGAR,0,,1,,,,,,
B3,AESCAL,0,,3,,,,,,
A4,AESCAL,0,,2,,,,,,
B4,AESCAL,0,,5,,,,,,
C3,QUEGAR,2,,3,,,,,,
D3,AESCAL,0,,1,,,,,,
D3,QUEGAR,0,,1,,,,,,
C4,AESCAL,0,,2,,,,,,
D4,AESCAL,0,,1,,,,,,
D4,QUEGAR,0,,1,,,,,,
