Plot ID,PPW1340,,,,Sampler(s),"GCA, MJK, MFO, MZC, REB, PDP",,,Date ,20150305
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B1,PSEMEN,6,,2,,,,,,
B1,ARBMEN,3,,0,,,,,,
B1,UMBCAL,0,,3,,,,,,
A1,PSEMEN,0,,8,,,,,,
A1,QUEAGR,0,,1,,,,,,
A1,UMBCAL,0,,2,,,,,,
D1,PSEMEN,12,,2,,,,,,
D1,UMBCAL,4,,4,,,,,,
A2,PSEMEN,0,,6,,,,,,
A2,QUEAGR,0,,2,,,,,,
A1,ARBMEN,0,,1,,,,,,
A2,UMBCAL,0,,11,,,,,,
A3,PSEMEN,0,,28,,,,,,
A3,UMBCAL,3,,4,,,,,,
A3,QUEAGR,0,,2,,,,,,
A4,UMBCAL,0,,5,,,,,,
A4,PSEMEN,0,,12,,,,,,
C1,PSEMEN,8,,1,,,,,,
C1,UMBCAL,2,,3,,,,,,
C2,PSEMEN,6,,8,,,,,,
C2,ARBMEN,1,,0,,,,,,
C2,UMBCAL,1,,0,,,,,,
C3,PSEMEN,8,,30,,,,,,
C3,UMBCAL,0,,3,,,,,,
C3,BACPIL,0,,1,,,,,,
C3,ARBMEN,1,,0,,,,,,
C4,PSEMEN,2,,18,,,,,,
C4,UMBCAL,0,,2,,,,,,
D3,PSEMEN,29,,38,,,,,,
D3,UMBCAL,3,,4,,,,,,
D3,ARBMEN,0,,1,,,,,,
B2,PSEMEN,10,,6,,,,,,
B2,UMBCAL,1,,7,,,,,,
B2,ARBMEN,1,,0,,,,,,
D2,PSEMEN,11,,14,,,,,,
D2,UMBCAL,0,,6,,,,,,
D2,QUEAGR,0,,1,,,,,,
B3,PSEMEN,14,,26,,,,,,
B3,UMBCAL,3,,11,,,,,,
B3,QUEAGR,0,,4,,,,,,
B3,ARBMEN,1,,0,,,,,,
D4,PSEMEN,5,,14,,,,,,
D4,UMBCAL,0,,1,,,,,,
D4,ARBMEN,0,,1,,,,,,
B4,PSEMEN,3,,32,,,,,,
B4,QUEAGR,0,,7,,,,,,
B4,BACPIL,0,,1,,,,,,
B4,UMBCAL,2,,3,,,,,,
