Plot ID,PPW1341,,,,Sampler(s),"MZC, GCA, LEH, REB, RLO, MJK, VAF, MFO, PDP",,,Date ,20150307
Notes,Dead tree fall in C1 and D1,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,PSEMEN,5,,4,,,,,,
A1,UMBCAL,0,,1,,,,,,
A1,QUEDOU,0,,1,,,Uncertain ID - has teeth - white oak,,,
A1,NOTDEN,0,,2,,,,,,
A1,TORCAL,0,,2,,,,,,
A1,QUEAGR,1,,1,,,,,,
A1,ARBMEN,1,,0,,,,,,
B1,PSEMEN,16,,7,,,,,,
B1,QUEAGR,0,,1,,,,,,
B1,QUEKEL,1,,0,,,,,,
B1,ARBMEN,2,,0,,,,,,
C1,ARBMEN,4,,0,,,,,,
C1,PSEMEN,4,,4,,,,,,
C1,UMBCAL,0,,1,,,,,,
A2,QUEKEL,0,,1,,,,,,
A2,PSEMEN,0,,2,,,,,,
A2,QUEAGR,1,,1,,,,,,
D2,PSEMEN,5,,6,,,,,,
D2,ARBMEN,1,,0,,,,,,
D2,QUEAGR,0,,1,,,,,,
C2,PSEMEN,4,,2,,,,,,
C2,ARBMEN,2,,0,,,,,,
D1,PSEMEN,5,,45,,,,,,
D1,QUEAGR,0,,6,,,,,,
D1,ARBMEN,0,,1,,,,,,
D1,NOTDEN,0,,2,,,,,,
D3,PSEMEN,6,,1,,,,,,
D3,UMBCAL,1,,0,,,,,,
D3,QUEAGR,1,,0,,,,,,
D4,PSEMEN,2,,2,,,,,,
B2,PSEMEN,3,,1,,,,,,
B2,ARBMEN,1,,0,,,,,,
C3,PSEMEN,9,,0,,,,,,
C3,UMBCAL,0,,2,,,,,,
C3,ACEMAC,0,,1,,,,,,
C3,QUEAGR,0,,1,,,,,,
B4,PSEMEN,1,,2,,,,,,
B4,QUEAGR,1,,0,,,,,,
A4,PSEMEN,3,,5,,,,,,
A4,QUEAGR,1,,0,,,,,,
A4,UMBCAL,1,,0,,,,,,
B3,QUEAGR,1,,0,,,,,,
B3,PSEMEN,1,,1,,,,,,
B3,UMBCAL,0,,2,,,,,,
C4,UMBCAL,1,,1,,,,,,
C4,PSEMEN,7,,0,,,,,,
C4,QUEAGR,1,,1,,,,,,
A3,PSEMEN,5,,3,,,,,,
A3,NOTDEN,0,,1,,,,,,
A3,UMBCAL,0,,1,,,,,,
A3,ACEMAC,0,,1,,,,,,
A3,TORCAL,0,,1,,,,,,
