Plot ID,PPW1343,,,,Sampler(s),"MFO, PDP, MJK",,,Date ,20150321
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
C1,UMBCAL,1,,4,,,,,,
B1,UMBCAL,1,,12,,,,,,
B1,QUEKEL,0,,1,,,,,,
A1,ARBMEN,0,,1,,,,,,
A1,QUEAGR,0,,1,,,,,,
A1,UMBCAL,0,,8,,,,,,
A2,PSEMEN,1,,0,,,,,,
A2,UMBCAL,0,,7,,,,,,
B2,UMBCAL,0,,9,,,,,,
C2,UMBCAL,0,,9,,,,,,
C2,QUEAGR,0,,1,,,,,,
C3,UMBCAL,0,,10,,,,,,
B3,UMBCAL,2,,12,,,,,,
B3,HETARB,2,,0,,,,,,
B3,QUEAGR,0,,2,,,,,,
A3,UMBCAL,0,,5,,,,,,
A3,QUEAGR,0,,1,,,,,,
A4,UMBCAL,1,,4,,,,,,
A4,QUEAGR,0,,2,,,,,,
A4,ARBMEN,2,,1,,,,,,
B4,PSEMEN,2,,0,,,,,,
B4,UMBCAL,2,,22,,,,,,
B4,QUEAGR,1,,1,,,,,,
B4,ARBMEN,0,,4,,,,,,
C4,UMBCAL,3,,12,,,,,,
C4,ARBMEN,1,,1,,,,,,
C4,PSEMEN,2,,0,,1,,,,
C4,QUEAGR,0,,1,,,2134 = tag ¬,,,
D4,QUEAGR,0,,1,,,,,,
D4,UMBCAL,0,,23,,,,,,
D4,PSEMEN,3,,0,,1,,,,
D4,QUEKEL,2,,0,,,,,,
D3,PSEMEN,1,,1,,,,,,
D3,UMBCAL,0,,2,,1,,,,
D3,QUEKEL,0,,2,,,,,,
D2,UMBCAL,1,,4,,,,,,
D1,UMBCAL,0,,3,,,,,,
