Plot ID,PPW1345,,,,Sampler(s),"MFO, PDP, VAF, GCA, MZC",,,Date ,20150418
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
C1,HETARB,0,,2,,,,,,
C2,QUEGAR,1,,2,,,,,,
D1,QUEGAR,0,,2,,,,,,
D1,UMBCAL,0,,1,,,,,,
D1,QUEAGR,0,,1,,,,,,
D2,HETARB,0,,2,,,,,,
C4,PSEMEN,0,,1,,,,,,
C4,ARBMEN,0,,1,,,,,,
D3,QUEGAR,2,,8,,,,,,
D3,QUEDOU,0,,1,,,,,,
B2,QUEAGR,0,,1,,,,,,
B2,HETARB,0,,2,,,,,,
B2,QUEGAR,0,,1,,,,,,
D4,QUEGAR,0,,5,,,,,,
B4,UMBCAL,0,,1,,,,,,
B4,QUEAGR,0,,1,,,,,,
B4,HETARB,0,,1,,,,,,
B3,QUEGAR,0,,1,,,,,,
B3,HETARB,0,,1,,,,,,
A3,UMBCAL,0,,1,,,,,,
B1,QUEGAR,0,,1,,,,,,
B1,UMBCAL,0,,1,,,,,,
A1,UMBCAL,0,,2,,,,,,
