Plot ID,PPW1349,,,,Sampler(s),"MFO, MJK",,,Date ,20150322
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,0,,7,,,,,,
A1,PSEMEN,0,,1,,,,,,
A1,QUEKEL,0,,1,,,,,,
A1,QUEAGR,0,,1,,,,,,
A2,UMBCAL,2,,4,,,,,,
A2,PSEMEN,0,,4,,,,,,
A2,NOTDEN,0,,1,,,,,,
A3,PSEMEN,0,,7,,,,,,
A3,NOTDEN,1,,0,,,,,,
A3,UMBCAL,0,,1,,,,,,
A4,PSEMEN,2,,11,,,,,,
A4,UMBCAL,0,,1,,,,,,
B4,PSEMEN,3,,6,,,,,,
B4,NOTDEN,0,,2,,,,,,
B4,UMBCAL,0,,5,,,,,,
B3,NOTDEN,0,,1,,,,,,
B3,UMBCAL,1,,3,,,,,,
B2,UMBCAL,1,,2,,,,,,
B2,QUEKEL,1,,0,,,,,,
B2,PSEMEN,0,,1,,,,,,
B1,UMBCAL,0,,3,,,,,,
B1,PSEMEN,0,,2,,,,,,
B1,NOTDEN,0,,1,,,,,,
C1,UMBCAL,0,,2,,,,,,
C1,NOTDEN,0,,1,,,,,,
C2,PSEMEN,2,,0,,,,,,
C2,UMBCAL,1,,2,,,,,,
C3,UMBCAL,0,,4,,,,,,
C4,UMBCAL,0,,2,,,,,,
C4,PSEMEN,3,,2,,,,,,
D4,QUEAGR,3,,0,,,,,,
D4,UMBCAL,1,,1,,,,,,
D4,PSEMEN,1,,0,,,,,,
D3,UMBCAL,2,,3,,,,,,
D3,QUEAGR,2,,0,,,,,,
D3,PSEMEN,2,,0,,,,,,
D2,UMBCAL,0,,2,,,,,,
D2,PSEMEN,0,,3,,,,,,
D1,UMBCAL,1,,2,,,,,,
D1,QUEKEL,1,,0,,,,,,
