Plot ID,PPW1350,,,,Sampler(s),"REB, PDP, GA, VF",,,Date ,20150405
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,PSEMEN,3,,0,,,,,,
A4,UMBCAL,0,,2,,,,,,
A4,QUEAGR,0,,1,,,,,,
B4,ARBMEN,4,,0,,,,,,
B4,HETARB,0,,2,,,,,,
B4,QUEAGR,0,,1,,,,,,
C4,QUEAGR,0,,1,,,,,,
C4,PSEMEN,1,,0,,,,,,
C4,ARBMEN,1,,0,,,,,,
C4,UMBCAL,0,,2,,,,,,
D4,ARBMEN,4,,0,,,,,,
D4,QUEDOU,0,,1,,,,,,
D4,UMBCAL,0,,1,,,,,,
D4,QUEAGR,0,,1,,,,,,
D3,PSEMEN,38,,0,,,,,,
D3,ARBMEN,10,,0,,,,,,
D3,QUEAGR,0,,3,,,,,,
D3,UMBCAL,0,,2,,,,,,
C3,PSEMEN,6,,0,,,,,,
C3,ARBMEN,3,,0,,,,,,
C3,QUEAGR,0,,1,,,,,,
C2,UMBCAL,0,,1,,,,,,
C2,PSEMEN,26,,1,,,,,,
C2,ARBMEN,4,,0,,,,,,
C2,QUEAGR,0,,1,,,,,,
D2,PSEMEN,22,,0,,,,,,
D2,FRACAL,0,,2,,,,,,
D2,ARBMEN,6,,0,,,,,,
D2,QUEAGR,0,,2,,,,,,
B2,ARBMEN,2,,0,,,,,,
B2,PSEMEN,11,,0,,,,,,
B3,PSEMEN,2,,0,,,,,,
B3,UMBCAL,0,,3,,,,,,
B3,ARBMEN,3,,0,,,,,,
A3,PSEMEN,3,,0,,,,,,
A3,ARBMEN,1,,1,,,,,,
A3,FRACAL,0,,2,,,,,,
A3,QUEAGR,0,,2,,,,,,
A2,PSEMEN,13,,0,,,,,,
A2,ARBMEN,3,,0,,,,,,
A2,UMBCAL,0,,1,,,,,,
A2,QUEAGR,0,,1,,,,,,
A1,PSEMEN,5,,0,,,,,,
A1,ARBMEN,6,,0,,,,,,
B1,PSEMEN,12,,0,,,,,,
B1,ARBMEN,6,,0,,,,,,
B1,FRACAL,0,,1,,,,,,
B1,QUEAGR,0,,2,,,,,,
C1,ARBMEN,4,,0,,,,,,
C1,PSEMEN,1,,3,,,,,,
D1,PSEMEN,9,,0,,,,,,
D1,ARBMEN,7,,0,,,,,,
D1,UMBCAL,0,,2,,,,,,
D1,FRACAL,2,,0,,,,,,
