Plot,Survey.start,UTM.zone,SW.UTM.E,SW.UTM.N,NE.UTM.E,NE.UTM.N,Met.UTM.E,Met.UTM.N
PPT1301,16-Jun-15,10S,526224,4270307,526325,4270407,526263,4270356
PPT1307,8-Nov-15,10S,525849,4270618,525949,4270718,NA,NA
PPT1309,15-Jun-15,10S,522791,4273296,522891,4273396,522834,4273346
PPT1310,14-Jun-15,10S,522745,4273503,522845,4273603,522784,4273552
PPT1312,6-Jun-15,10S,522464,4272796,522564,4272896,522506,4272841
PPT1315,17-Jun-15,10S,524693,4271521,524796,4271621,524731,4271577
PPT1321,1-Jun-16,10S,524699,4269554,524799,4269654,NA,NA
PPT1322,1-Aug-15,10S,525047,4269507,525147,4269607,NA,NA
PPT1324,29-Jun-15,10S,523765,4271959,523865,4272059,523812,4271999
PPT1325,27-Sep-15,10S,526426,4270763,526526,4270863,526477,4270800
PPT1332,9-Jun-15,10S,524930,4271239,525030,4271339,524957,4271283
PPT1335,31-Jul-15,10S,525053,4271006,525153,4271106,525089,4271050
PPT1338,11-Oct-15,10S,524910,4269662,525010,4269762,524949,4269704
PPT1339,10-Oct-15,10S,524862,4269820,524962,4269920,524900,4269875
PPT1340,7-Nov-15,10S,527159,4269243,527259,4269343,527223,4269284
PPT1344,15-Jun-15,10S,522831,4272844,522931,4272944,522879,4272877
PPT1349,5-Dec-15,10S,526455,4270408,526555,4270508,526511,4270441
