Plot,Subplot,Num,Species,UTM.E,UTM.N,DBH.cm,Accuracy,Year,Notes,QC.notes
PPT1301,C1,1014,QUEGAR,526272.3864,4270351.435,21.8,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,C1,1012,QUEGAR,526273.53,4270349.609,15.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,A2,1002,QUEGAR,526265.5253,4270354.019,22.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,A4,1005,QUEGAR,526267.7736,4270364.536,32.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,A4,1004,QUEGAR,526266.2842,4270362.669,27.1,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,A2,1001,QUEGAR,526263.9957,4270354.191,22.5,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,C2,1018,QUEGAR,526275.1836,4270357.351,24,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,B4,1010,QUEGAR,526273.0525,4270365.793,25.8,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,A4,1006,QUEGAR,526265.0207,4270366.9,30.6,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,C1,1012.1,QUEGAR,526273.53,4270349.609,17.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,C1,1014.1,QUEGAR,526272.3864,4270351.435,15.75,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,B1,1007,QUEGAR,526269.2293,4270352.735,28.25,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,A2,1003,QUEGAR,526263.5076,4270356.208,22.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,C3,1020,QUEGAR,526277.4072,4270358.093,35,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,D2,1022,QUEGAR,526277.8746,4270356.619,29,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,C2,1015,QUEGAR,526275.1425,4270353.787,30.5,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,B4,1011,QUEGAR,526271.512,4270366.69,22.65,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,D4,1021,QUEGAR,526279.352,4270364.779,34.2,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1301,B3,1008,QUEGAR,526268.7755,4270358.191,32.25,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,A3,1112,ARBMEN,525893.9027,4270671.406,22.1,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,B4,1126,QUEKEL,525899.1795,4270674.163,21.6,from offset using simple slope correction and average angle of declination,2014,measured at 110cm,
PPT1307,A2,1110,ARBMEN,525892.8628,4270668.416,42.3,from offset using simple slope correction and average angle of declination,2014,Measured at 95cm,
PPT1307,D3,1169,PSEMEN,525908.2621,4270667.867,22.85,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,A4,1124,QUEKEL,525896.8127,4270676.981,25.5,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,A2,1110.1,ARBMEN,525892.8628,4270668.416,26.85,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,D3,1168,QUEAGR,525907.6714,4270669.177,36.2,from offset using simple slope correction and average angle of declination,2014,DBH at 1.61cm height,
PPT1307,D2,1173,PSEMEN,525905.4549,4270666.714,23,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,C4,1166,QUEAGR,525904.9004,4270676.384,40.25,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,A2,1110.2,ARBMEN,525892.8628,4270668.416,30.55,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1307,B2,1131,ARBMEN,525894.9574,4270667.234,32.4,from offset using simple slope correction and average angle of declination,2014,Large fire scare at DBH diameter,
PPT1307,A4,1123,QUEKEL,525895.9389,4270677.705,55.65,from offset using simple slope correction and average angle of declination,2014,dbh at 78cm,
PPT1309,C1,1246,QUEKEL,522845.0075,4273338.462,37.15,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1309,B1,1245.1,QUEAGR,522839.8057,4273341.623,37.45,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1309,B2,1244,QUEKEL,522838.7936,4273347.269,43.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1309,C2,1247,QUEKEL,522845.1544,4273343.278,55.4,from offset using simple slope correction and average angle of declination,2014,DBH at 120cm,
PPT1309,B1,1245,QUEAGR,522839.8057,4273341.623,47.95,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,B2,1228,ARCMAN,522792.5084,4273550.869,13.05,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,B2,1228.1,ARCMAN,522792.5084,4273550.869,8.15,from offset using simple slope correction and average angle of declination,2014,rotten/burnt?,
PPT1310,C4,1236,QUEGAR,522796.9371,4273557.632,25.1,from offset using simple slope correction and average angle of declination,2014,DBH at 110cm,
PPT1310,B2,1228.2,ARCMAN,522792.5084,4273550.869,10.5,from offset using simple slope correction and average angle of declination,2014,rotten/burnt?,
PPT1310,B1,1230,QUEGAR,522792.0121,4273544.059,31.95,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,C2,1233,QUEGAR,522793.5978,4273548.592,23.3,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,A1,1222,QUEGAR,522786.4208,4273545.562,28.4,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,B4,1225,QUEGAR,522789.9021,4273557.676,35.25,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,C1,1232,QUEGAR,522795.4822,4273546.909,23.9,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,B2,1228.3,ARCMAN,522792.5084,4273550.869,7.7,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,A1,1222.1,QUEGAR,522786.4208,4273545.562,17.15,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1310,C1,1232.1,QUEGAR,522795.4822,4273546.909,21,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1312,A1,1273.1,QUEAGR,522508.2198,4272845.801,25.5,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1312,C4,1546.2,QUEAGR,522522.1406,4272859.539,18,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1312,D1,1593,ARBMEN,522524.0436,4272838.442,33.8,from offset using simple slope correction and average angle of declination,2014,NA,
PPT1312,A1,1273,QUEAGR,522508.2198,4272845.801,25,from offset using simple slope correction and average angle of declination,2014,Had to go around TODI with DBH tape,
