Plot,UTM.Zone,SW.UTM.E,SW.UTM.N,SE.UTM.E,SE.UTM.N,NW.UTM.E,NW.UTM.N,NE.UTM.E,NE.UTM.N
PPW1301,10S,526262.3355,4270349.119,526282.1622,4270347.782,526263.149,4270367.199,526283.11,4270366.213
PPW1307,10S,525888.4438,4270663.448,525906.7993,4270657.945,525894.1951,4270681.383,525912.3184,4270673.536
PPW1309,10S,522831.8481,4273338.65,522851.4822,4273336.735,522833.7139,4273358.527,522853.0507,4273356.938
PPW1309_SUPER,10S,522790.7443,4273299.985,522891.5005,4273293.982,522791.3759,4273396.345,522890.7281,4273396.149
PPW1310,10S,522783.2758,4273543.889,522803.0376,4273543.315,522783.1839,4273562.036,522803.0518,4273561.924
PPW1310_SUPER,10S,522744.1145,4273511.123,522844.4842,4273508.596,522746.1023,4273597.64,522842.3329,4273593.364
PPW1312,10S,522505.9989,4272840.093,522524.6511,4272835.104,522509.3318,4272864.773,522525.588,4272855.647
PPW1315,10S,524731.5828,4271562.514,524749.7882,4271557.272,524735.7547,4271581.186,524755.0655,4271576.881
PPW1315_SUPER,10S,524687.1735,4271520.862,524796.1199,4271521.23,524693.3658,4271613.39,524794.9963,4271616.137
PPW1317,10S,524779.9776,4271591.483,524799.4012,4271587.012,524783.9445,4271608.598,524802.8724,4271603.775
PPW1321,10S,524737.5222,4269589.877,524754.4657,4269582.391,524741.5342,4269605.696,524760.4518,4269600.228
PPW1322,10S,525086.2656,4269550.664,525106.1451,4269544.859,525091.5415,4269569.858,525110.5906,4269565.06
PPW1324,10S,523801.3155,4271999.409,523820.3072,4271997.338,523800.791,4272019.487,523821.8479,4272018.041
PPW1324_SUPER,10S,523764.4063,4271958.741,523867.3885,4271959.748,523767.605,4272058.202,523864.5596,4272060.262
PPW1325,10S,526464.5977,4270805.757,526483.0985,4270799.276,526470.2073,4270824.297,526489.1141,4270818.044
PPW1332,10S,524962.3122,4271276.664,524982.0198,4271271.068,524969.8797,4271294.111,524988.3947,4271288.144
PPW1335,10S,525095.1258,4271045.96,525114.7857,4271042.982,525098.6646,4271065.229,525117.7834,4271061.178
PPW1338,10S,524947.2888,4269701.621,524964.6509,4269695.267,524953.0403,4269720.247,524972.0959,4269713.388
PPW1339,10S,524902.56,4269863.56,524920.3054,4269858.631,524906.2506,4269882.324,524923.387,4269877.966
PPW1340,10S,527203.8213,4269288.244,527221.9172,4269282.454,527207.8548,4269308.117,527227.0989,4269301.843
PPW1344,10S,522867.1786,4272880.047,522885.6699,4272873.71,522871.6819,4272898.127,522889.8421,4272891.772
PPW1344_SUPER,10S,522828.4688,4272842.91,522932.0285,4272843.121,522829.8679,4272928.286,522933.4306,4272932.865
PPW1349,10S,526500.1255,4270443.509,526520.553,4270439.797,526504.9084,4270463.411,526523.9833,4270459.381
