DATE,PLOT,INITALS,SPECIES,A1_cover,A1_pheno,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,NOTES
20160413,1349,"RO, MFO, MJ, PW",TOXDIV,4,VEG,8,VEG,,,5,VEG,20,VEG,2,VEG,12,VEG,1,VEG,7,VEG,3,VEG,6,VEG,,,
20160413,1349,"RO, MFO, MJ, PW",FESCAL,,,1,VEG,,,,,,,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",MELGEY,,,,,,,,,1,VEG,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",GALAPA,,,,,,,2,FLR,2,FLR,2,FLR,1,FLR,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",STARIG,,,,,,,,,1,VEG,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",IRIMAC,,,,,,,,,,,,,,,,,,,,,,,,,*Not great ID - check when in flower
20160413,1349,"RO, MFO, MJ, PW",OSMBER,,,,,,,,,1,VEG,1,VEG,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",SANCRA,,,,,,,,,1,VEG,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",FESCAL,,,,,,,,,1,VEG,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",NEMHET,,,,,,,,,1,FLR,2,FLR,,,,,,,,,,,2,FLR,
20160413,1349,"RO, MFO, MJ, PW",PTEAQU,,,,,,,,,,,,,,,,,,,,,,,4,VEG,
20160413,1349,"RO, MFO, MJ, PW",CARPYC,,,,,,,,,,,2,VEG,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",TORARV,,,,,,,,,,,1,VEG,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",POLCAL,,,,,,,,,,,,,,,,,,,,,,,,,milkwhort
20160413,1349,"RO, MFO, MJ, PW",GALCAL,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",MELTOR,,,,,,,,,2,FLR,,,,,,,,,,,,,,,
20160413,1349,"RO, MFO, MJ, PW",ELYGLA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
