PLOT,PPR1309N,NORTHING,38.60876,EASTING,122.73772,DATE,20160519
QUAD,CANOPY,CANOPY-ID,% ROCK,% HERB,# RECRUITS,NOTES,
5,0,,0,2,1,,
6,1,7288,0,1,1,,
7,1,7288,0,1,0,trunk,
8,1,7288,0,1,0,,
9,1,7289,0,1,0,,
10,1,7289,0,1,0,,
11,1,7289,0,2,1,,
12,1,7289,0,2,0,,
13,1,7289,0,2,1,,
14,1,7289,0,2,2,,
15,0,,0,2,0,,
16,0,,0,2,1,,
17,0,,1,2,5,,
18,1,7291,1,2,1,,
19,1,7291,1,2,2,,
20,0,,0,3,1,,
21,0,,0,3,2,,
22,0,,0,3,1,,
23,1,7496,0,3,2,trunk,
24,1,7496,0,2,4,,
25,1,7496,0,2,2,,
26,1,7496,0,2,5,,
27,1,7496,0,2,2,,
28,1,7495,0,2,8,trunk,
29,1,7495,0,2,4,trunk,
30,1,7495,0,2,8,,
31,1,7494,0,2,1,,
32,1,7494,0,1,0,trunk,
33,1,7494,0,2,1,,
34,1,7494,0,1,1,,
