PLOT,PPR1309N,INITIALS,"MFO, HW, MC",DATE,20160619,,,,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES,,,
5358,5,76,30,QUEKEL,8,1,,,,
5385,6,42,82,QUEDOU,8,1,,,,
5389,11,95,10,QUEAGR,9,1,probably Chase oak ,,,
5349,13,28,50,QUEDOU,7,1,,,,
5362,14,12,89,UMBCAL,7,1,,,,
5363,14,5,99,QUEDOU,10,0,,,,
5351,16,21,47,QUEDOU,13,1,,,,
5367,17,18,72,QUEDOU,7,1,,,,
5374,17,30,68,QUEDOU,8,0,,,,
5382,17,32,88,QUEDOU,11,1,,,,
5354,17,38,92,QUEDOU,14,1,,,,
5359,17,87,85,QUEDOU,9,1,,,,
5379,18,26,31,QUEDOU,10,1,,,,
5357,19,55,63,QUEKEL,10,0,,,,
5350,19,8,54,QUEDOU,12,1,,,,  
5391,20,15,5,QUEDOU,10,1,,,,
5369,21,23,33,QUEDOU,6,1,,,,
5361,21,23,52,QUEDOU,16,1,,,,
5365,22,91,65,QUEDOU,7,1,,,,
5386,23,70,53,QUEDOU,19,1,,,,
5372,24,86,89,QUEDOU,6,1,,,,
5355,24,40,27,QUEDOU,15,1,,,,
5373,24,26,48,QUEDOU,3,0,,,,
5396,24,77,53,QUEDOU,7,1,,,,
5348,24,55,62,QUEDOU,9,1,,,,
5356,25,36,48,QUEDOU,9,0,,,,
5347,25,46,95,QUEDOU,7,1,,,,
5371,26,22,5,QUEDOU,8,0,,,,
5370,26,29,51,QUEDOU,8,1,,,,
5368,26,88,22,QUEDOU,5,1,,,,
5363,26,100,68,QUEDOU,5,0,,,,
5360,26,63,77,QUEDOU,6,1,,,,
5366,27,33,58,QUEDOU,8,0,,,,
5352,27,33,40,QUEDOU,7,1,,,,
5313,28,58,57,QUEDOU,7,1,,,,
5345,28,72,20,QUEDOU,7,1,,,,
5339,28,100,47,QUEDOU,4,0,,,,
5341,28,93,47,QUEDOU,5,0,,,,
5311,28,100,60,QUEDOU,4,1,,,,
5310,28,93,60,QUEDOU,8,1,,,,
5336,28,80,67,QUEDOU,6,1,,,,
5335,28,99,78,QUEDOU,8,1,,,,
5329,29,26,27,QUEDOU,3,0,,,,
5328,29,34,65,QUEDOU,4,1,,,,
5337,29,72,65,QUEDOU,7,1,,,,
5304,29,54,88,QUEDOU,6,1,,,,
5333,30,12,7,QUEDOU,7,1,,,,
5312,30,41,32,QUEDOU,7,1,,,,
5338,30,81,15,QUEDOU,8,1,,,,
5375,30,70,35,QUEKEL,10,1,,,,
5322,30,56,74,QUEKEL,8,1,,,,
5326,30,72,77,QUEDOU,9,1,,,,
5340,30,81,85,QUEDOU,8,1,,,,
5308,30,90,90,QUEDOU,6,0,,,,
5331,31,30,22,QUEDOU,15,1,,,,
5323,33,39,38,QUEDOU,7,1,,,,
5321,34,9,38,QUEDOU,10,1,,,,
