PLOT,PPR1322W,INITIALS,"DDA, MFO",DATE,20160517,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5201,5,2,70,QUEAGR,6,0,fallen grainery 
5202,5,6,75,QUEAGR,5,0,fallen grainery 
5203,5,12,63,QUEAGR,6,0,fallen grainery 
5204,5,10,65,QUEAGR,8,0,fallen grainery 
5205,5,9,67,QUEAGR,8,0,fallen grainery 
5206,9,36,12,QUEAGR,33,1,
5207,11,48,40,QUEKEL,11,0,
5208,11,62,75,QUEDOU,17,1,
5209,25,90,20,QUEKEL,3,0,
5210,26,90,80,QUEAGR,5,0,
5211,28,4,92,QUEDOU,30,1,
5212,28,57,81,QUEAGR,12,0,
5213,28,87,75,QUEAGR,10,0,
5214,29,50,90,QUEDOU,28,1,
5215,30,36,92,QUEAGR,10,0,
5216,31,97,93,QUEAGR,8,1,
5217,31,72,75,QUEAGR,10,0,
5219,32,25,2,QUEAGR,11,1,
5218,30,82,73,QUEAGR,26,1,
5220,32,58,10,QUEAGR,10,0,
5221,32,90,20,QUEAGR,8,0,
5222,33,10,45,QUEAGR,11,0,
5223,33,85,90,QUEAGR,6,1,
5224,34,27,0,QUEAGR,11,1,
5225,34,15,58,QUEAGR,4,1,
