PLOT,PPR1324E,INITIALS,MFO,DATE,20160518,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5174,5,99,18,QUEGAR,6,0,
5236,5,73,2,QUEGAR,6,1,
5286,5,69,25,QUEDOU,5,1,
5284,5,68,48,QUEKEL,6,1,
5285,5,72,90,QUEGAR,7,1,
5287,5,8,12,QUEDOU,3,1,
5271,5,31,11,QUEDOU,8,1,
5288,5,9,48,QUEGAR,3,1,
5282,5,13,73,ARBMEN,1,0,
5293,5,8,92,QUEDOU,5,1,
5283,5,33,95,QUEGAR,7,1,
5172,5,90,2,QUEDOU,4,1,
5171,6,66,2,QUEDOU,7,1,
5299,6,79,43,QUEDOU,10,1,
5296,6,81,55,QUEDOU,2,1,
5275,6,60,83,QUEDOU,8,1,
5289,6,53,20,QUEDOU,7,1,
5291,6,36,30,ARBMEN,10,1,
5292,6,30,47,QUEDOU,5,1,
5173,6,30,65,QUEDOU,3,1,
5295,7,40,15,QUEDOU,4,1,
5290,7,51,14,QUEKEL,15,1,
5300,7,58,30,QUEKEL,3,1,
5297,7,23,95,QUEDOU,2,1,
5190,8,24,63,PSEMEN,33,0,
5298,8,97,32,QUEDOU,4,1,
5294,8,91,65,QUEKEL,4,1,
5181,8,93,68,QUEDOU,6,1,
5176,8,68,55,QUEGAR,3,1,
5179,8,60,68,QUEDOU,1,1,
5189,8,38,10,QUEDOU,8,1,
5198,8,31,36,QUEDOU,5,1,
5191,8,18,85,QUEKEL,7,1,
5192,9,97,4,QUEKEL,4,1,
5194,9,71,21,QUEDOU,8,1,
5197,9,61,74,QUEDOU,3,1,
5177,9,22,46,QUEDOU,9,1,
5185,10,93,95,QUEDOU,5,1,
5186,10,90,95,QUEKEL,4,1,
5184,10,82,94,QUEKEL,4,1,
5188,10,46,64,QUEKEL,7,1,
5193,11,98,35,QUEDOU,6,1,
5183,11,20,50,QUEDOU,3,1,
5200,12,89,30,QUEDOU,3,1,
5187,12,15,92,QUEDOU,6,1,
5178,13,71,30,QUEGAR,9,1,
5195,13,86,88,QUEDOU,7,1,
5180,13,5,38,QUEGAR,3,1,
5196,13,15,58,QUEDOU,8,1,
5199,13,9,1,QUEDOU,6,1,
