PLOT,PPR1324S,INITIALS,"MFO, HW, MC",DATE,20160519,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5395,6,20,58,QUEDOU,6,1,
5397,8,17,32,QUEKEL,8,1,
5392,9,39,10,ARBMEN,5,0,
5399,11,68,75,UMBCAL,33,1,
5387,12,65,45,QUEDOU,8,1,
5182,12,12,80,QUEDOU,8,1,
5389,12,61,90,QUEAGR,7,1,probably chase oak
5377,13,97,53,UMBCAL,9,1,
5381,14,10,12,QUEKEL,14,1,
5376,15,64,72,QUEAGR,12,1,probably chase oak
5378,17,84,29,QUEDOU,5,1,
5394,21,96,92,QUEDOU,4,1,
5393,24,45,28,UMBCAL,20,0,
5390,24,40,56,UMBCAL,8,0,
5380,26,40,70,UMBCAL,43,1,
5384,30,9,40,UMBCAL,7,1,
