PLOT,PPR1340N,INITIALS,"MFO, HW",DATE,20160520,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5303,5,7,39,PSEMEN,10,0,
5464,5,107,76,QUEAGR,21,1,incorrect x
5472,5,62,2,PSEMEN,9,0,
5480,6,15,26,ARBMEN,2,0,
5465,6,49,6,ARBMEN,4,0,
5301,6,53,23,ARBMEN,3,0,
5490,6,68,30,ARBMEN,2,0,
5488,6,70,12,PSEMEN,38,0,
5306,6,28,42,ARBMEN,2,0,
5316,6,60,81,ARBMEN,2,0,
5497,7,30,43,ARBMEN,4,0,
5468,7,40,88,ARBMEN,3,0,
5320,7,83,91,PSEMEN,8,0,
5483,7,88,85,PSEMEN,40,0,
5477,7,90,51,PSEMEN,5,0,
5498,7,99,33,QUEAGR,16,1,
5346,7,99,29,PSEMEN,39,0,
5474,7,88,7,ARBMEN,2,0,
5478,7,95,4,ARBMEN,2,0,
5314,8,99,18,PSEMEN,7,0,
5324,8,97,75,ARBMEN,3,0,
5307,9,85,77,PSEMEN,10,0,
5344,10,96,89,PSEMEN,9,0,
5342,10,99,48,PSEMEN,7,0,
5319,10,92,40,PSEMEN,14,0,
5343,10,42,45,ARBMEN,13,1,
5491,11,75,10,ARBMEN,2,0,
5493,11,73,35,ARBMEN,6,0,
5485,11,72,85,ARBMEN,1,0,
5481,15,6,56,UMBCAL,8,1,
5470,17,10,30,UMBCAL,10,0,
5487,17,26,63,PSEMEN,4,0,
5486,17,17,71,PSEMEN,7,0,
5317,18,29,57,PSEMEN,17,0,
5332,18,8,62,UMBCAL,9,0,
5469,20,14,95,PSEMEN,20,0,
5496,20,61,25,PSEMEN,13,0,
5467,21,79,99,PSEMEN,30,0,
5400,21,7,84,ARBMEN,4,0,
5454,22,80,79,PSEMEN,9,0,
5462,22,35,18,UMBCAL,7,0,
5453,22,6,78,PSEMEN,35,0,
5455,24,28,66,BACPIL,4,0,
5463,24,26,19,PSEMEN,12,0,
5456,29,90,37,QUEAGR,8,1,
5450,30,18,5,QUEAGR,34,0,
5457,30,98,45,UMBCAL,40,1,
5458,31,50,30,PSEMEN,7,0,
5448,31,28,42,UMBCAL,40,1,
5461,31,30,42,QUEAGR,37,1,
5451,31,38,58,QUEAGR,33,1,
5447,31,38,85,QUEAGR,28,1,
5433,32,85,14,PSEMEN,16,0,
5449,32,56,51,QUEAGR,22,1,
5432,32,28,87,QUEAGR,19,1,
5437,32,71,80,QUEAGR,32,1,
5434,33,91,65,QUEAGR,20,1,
5431,33,84,89,UMBCAL,6,0,
5435,33,30,7,UMBCAL,21,1,
5436,33,30,10,PSEMEN,1,0,
5430,33,22,26,UMBCAL,15,0,
5443,33,90,35,PSEMEN,2,0,
5442,34,56,78,UMBCAL,12,0,
