"","Total basal area (PPW)","Maximum height","Seed mass","Specific leaf area","Blade area","Blade length","Blade width","Leaf area to sapwood area","Total lumen area","Vessel density","Vessel diameter","Mean vessel area","Wood density"
"Quercus agrifolia",209209,25,NA,5.11,9.08,6,NA,NA,114,209,NA,0.543,NA
"Pseudotsuga menziesii",176834,56,11.4,12.8,0.275,4,NA,NA,NA,NA,NA,NA,0.528
"Quercus garryana",170156,20,3883,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"Quercus douglasii",54908,19.1,4545,7.49,10.3,6,NA,41.5,81.7,159,NA,0.514,0.755
"Quercus kelloggii",47375,30.1,4785,11.2,43.7,20,NA,73.8,126,140,NA,0.899,0.722
"Arbutus menziesii",32272,26.6,1.73,6.76,41.4,12,NA,82.9,161,515,12.3,0.312,0.571
"Umbellularia californica",21164,36.7,3259,10.8,16.2,10,NA,82.8,68.7,137,NA,0.5,0.515
"Arctostaphylos manzanita",4453,8,15.1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Heteromeles arbutifolia",3995,6.7,6.35,5.63,13.8,7.32,2.7,57.4,164,578,10.8,0.284,0.629
"Aesculus californica",3089,13.2,35714,18.3,19.5,17,NA,99.1,130,398,NA,0.327,0.483
"Amorpha californica",2017,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus lobata",1320,26.4,4271,11.5,24.9,12,NA,41.5,94.4,200,NA,0.473,0.705
"Notholithocarpus densiflora",577,30,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"Frangula californica",351,3.63,72.4,13.8,17,10,NA,38.9,92.3,471,11.1,0.196,0.5
"Baccharis pilularis",201,3.47,0.108,10.5,1.67,4,NA,31.2,104,753,7.04,0.137,0.591
"Quercus berberidifolia",97,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Adenostoma fasciculatum",32,3.38,0.99,4.57,0.0516,0.673,0.0845,6.76,128,779,9.77,0.165,0.75
"Quercus wislizeni",31,22,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Ceanothus cuneatus",22,2.89,8.6,4.44,1.77,3,NA,2.51,28.7,206,6.93,0.139,0.7
"Cercocarpus betuloides",12,3.42,17.5,6.44,3.7,2.79,1.62,8.71,48.4,187,11.2,0.259,0.8
"Torreya californica",11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
