Date,Plot,Num,Species,Alive,DBH_cm,Notes
20170609,PPW1301,1001,QUEGAR,1,20.6,
20170609,PPW1301,1002,QUEGAR,1,22.6,
20170609,PPW1301,1003,QUEGAR,1,20.7,
20170609,PPW1301,1004,QUEGAR,1,27.7,
20170609,PPW1301,1005,QUEGAR,1,33.1,
20170609,PPW1301,1006,QUEGAR,1,30.6,
20170609,PPW1301,1011,QUEGAR,1,22.8,
20170609,PPW1301,1010,QUEGAR,1,25.8,
20170609,PPW1301,1009,QUEGAR,1,13.7,
20170609,PPW1301,1008,QUEGAR,1,32.4,
20170609,PPW1301,1007,QUEGAR,1,29,
20170609,PPW1301,1014,QUEGAR,1,22.2,
20170609,PPW1301,1014.1,QUEGAR,1,16.7,
20170609,PPW1301,1012,QUEGAR,1,16.4,
20170609,PPW1301,1012.1,QUEGAR,1,16.5,
20170609,PPW1301,1015,QUEGAR,1,30.3,
20170609,PPW1301,1017,QUEGAR,1,19.8,
20170609,PPW1301,1018,QUEGAR,1,24.3,
20170609,PPW1301,1020,QUEGAR,1,35,
20170609,PPW1301,1021,QUEGAR,1,34.6,
20170609,PPW1301,1022,QUEGAR,1,28.9,
20170609,PPW1307,1110,ARBMEN,1,43,
20170609,PPW1307,1110.2,ARBMEN,1,31.1,
20170609,PPW1307,1110.1,ARBMEN,1,27.2,
20170609,PPW1307,1112,ARBMEN,1,22.4,
20170609,PPW1307,1123,QUEKEL,1,57.1,
20170609,PPW1307,1124,QUEKEL,1,26.3,
20170609,PPW1307,1126,QUEKEL,1,22,
20170609,PPW1307,1132,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1131,ARBMEN,1,33,
20170609,PPW1307,1132.1,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1143,ARBMEN,1,NA,NO NAIL
20170609,PPW1307,1165,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1154,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1165.1,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1159,QUEAGR,1,11.5,
20170609,PPW1307,1158,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1159.1,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1160,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1134,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1162,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1163,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1164,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1166,QUEAGR,1,40.6,
20170609,PPW1307,1168,QUEAGR,1,36.6,
20170609,PPW1307,1173,PSEMEN,1,28.4,
20170609,PPW1307,1176,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1175,QUEAGR,1,NA,NO NAIL
20170609,PPW1307,1179,UMBCAL,1,7.6,
20170609,PPW1307,1179.1,UMBCAL,1,NA,NO NAIL
20170609,PPW1307,1178,UMBCAL,1,NA,NO NAIL
20170609,PPW1307,1200,QUEAGR,1,10.5,
20170606,PPW1309,1244,QUEKEL,1,44.4,
20170606,PPW1309,1245,QUEAGR,1,48.3,
20170606,PPW1309,1245.1,QUEAGR,1,38.4,
20170606,PPW1309,1246,QUEKEL,1,38,
20170606,PPW1309,1247,QUEKEL,1,56.5,
20170606,PPW1310,1222,QUEGAR,1,28.6,
20170606,PPW1310,1222.1,QUEGAR,1,17.7,
20170606,PPW1310,1223,QUEGAR,1,19.3,
20170606,PPW1310,1224,QUEGAR,1,19.2,
20170606,PPW1310,1225,QUEGAR,1,35.8,
20170606,PPW1310,1228,ARCMAN,1,13.5,
20170606,PPW1310,1228.1,ARCMAN,1,8.1,
20170606,PPW1310,1228.2,ARCMAN,1,11.7,
20170606,PPW1310,1228.3,ARCMAN,1,6.7,
20170606,PPW1310,1230,QUEGAR,1,32.6,
20170606,PPW1310,1232,QUEGAR,1,24.5,
20170606,PPW1310,1232.1,QUEGAR,1,21,
20170606,PPW1310,1233,QUEGAR,1,23.8,
20170606,PPW1310,1236,QUEGAR,1,26.1,
20170606,PPW1310,1237,QUEDOU,1,8.5,
20170606,PPW1310,1238,QUEDOU,1,8.9,
20170606,PPW1310,1239,QUEDOU,1,14.5,
20170606,PPW1310,1240,QUEDOU,1,19.5,
20170606,PPW1310,1242,QUEDOU,1,10.9,
20170606,PPW1310,1243,QUEDOU,1,6.8,
20170606,PPW1312,1287,QUEAGR,1,4.3,
20170606,PPW1312,1289,UMBCAL,1,2.1,
20170606,PPW1312,1273,QUEAGR,1,25,
20170606,PPW1312,1273.1,QUEAGR,1,25.7,
20170606,PPW1312,1327,QUEAGR,1,2.4,
20170606,PPW1312,1330,ARBMEN,1,1.2,
20170606,PPW1312,1299,QUEAGR,1,34,
20170606,PPW1312,1299.1,QUEAGR,0,16.1,
20170606,PPW1312,1347,UMBCAL,1,2.4,
20170606,PPW1312,1385,QUEAGR,1,49.8,
20170606,PPW1312,1385.1,QUEAGR,1,70.3,
20170606,PPW1312,1378,QUEAGR,1,19,
20170606,PPW1312,1399,QUEAGR,1,1.2,
20170606,PPW1312,1405,ARBMEN,1,2.2,
20170606,PPW1312,1400,QUEAGR,1,2.3,
20170606,PPW1312,1434,PSEMEN,1,3,
20170606,PPW1312,1429,QUEAGR,1,1.3,
20170606,PPW1312,1482,QUEAGR,1,11.9,
20170606,PPW1312,1481,QUEAGR,1,9,
20170606,PPW1312,1480,HETARB,1,2.2,
20170606,PPW1312,1569,QUEAGR,1,3,
20170606,PPW1312,1528,HETARB,1,1.3,
20170606,PPW1312,1529,HETARB,1,1.9,
20170606,PPW1312,1535,QUEAGR,1,25,
20170606,PPW1312,1538,QUEAGR,1,1.25,
20170606,PPW1312,1545,HETARB,1,3.25,
20170606,PPW1312,1545.1,HETARB,1,1.75,
20170606,PPW1312,1545.2,HETARB,1,1.5,
20170606,PPW1312,1546,QUEAGR,1,17.9,
20170606,PPW1312,1546.1,QUEAGR,1,18.6,
20170606,PPW1312,1546.2,QUEAGR,1,18.1,
20170606,PPW1312,1546.3,QUEAGR,1,21.4,
20170606,PPW1312,1543,HETARB,1,1.5,
20170606,PPW1312,1565,ARBMEN,1,44,
