PLOT,PPR1309S,NORTHING,38.60804,EASTING,122.73772,DATE,20170606
QUAD,CANOPY,CANOPY-ID,% ROCK,% HERB,# RECRUITS,NOTES,
5,1,1246,0,1,0,,
6,1,1246,0,1,0,,
7,0,,0,3,0,,
8,0,,0,3,0,,
9,0,,0,2,0,,
10,1,1246,0,3,0,,
11,1,1246,0,3,0,,
12,1,1246,0,3,0,,
13,1,7272,0,3,0,,
14,1,7272,0,3,0,,
15,1,7272,0,3,0,,
16,1,7272,0,3,1,,
17,0,,0,3,0,,
18,1,7271,0,3,0,,
19,1,7265,0,3,0,,
20,1,7265,0,3,0,,
21,1,7265,0,3,0,,
22,1,7265,0,3,0,,
23,1,7265,0,2,1,,
24,1,7265,0,2,1,,
25,1,7265,0,1,0,,
26,1,7265,0,2,0,,
27,1,7265,0,2,1,,
28,1,7265,0,2,0,,
29,1,7265,0,1,0,,
30,1,7265,0,2,0,,
31,1,7265,0,2,0,,
32,1,7265,0,1,0,,
33,1,7265,0,1,0,,
34,1,7265,0,1,0,,
