PLOT,PPR1322E,NORTHING,NA,EASTING,NA,DATE,20170607
QUAD,CANOPY,CANOPY-ID,% ROCK,% HERB,# RECRUITS,NOTES,
5,0,,1,3,0,,
6,0,,0,3,0,,
7,0,,1,3,0,,
8,0,,2,2,0,,
9,0,,1,3,0,,
10,0,,1,3,0,,
11,0,,0,3,0,,
12,0,,1,3,0,,
13,0,,0,3,0,,
14,0,,1,3,0,,
15,0,,1,3,0,,
16,0,,1,3,0,,
17,0,,1,2,0,,
18,0,,1,3,0,,
19,0,,0,3,0,,
20,0,,0,3,0,,
21,0,,1,3,0,,
22,0,,1,3,0,,
23,0,,0,3,0,,
24,0,,0,3,0,,
25,0,,0,3,0,,
26,0,,0,3,0,,
27,0,,0,3,0,,
28,0,,0,3,0,,
29,0,,0,3,0,,
30,0,,0,3,0,,
31,0,,0,3,0,,
32,0,,0,3,0,,
33,0,,0,3,0,,
34,0,,0,3,0,,
