Plot ID,   PPW1314,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180627
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,BACPIL,9,,9,,0,,,,
A1,QUEDOU,5,,0,,0,,,,
B1,BACPAR,3,,2,,0,,,,
B1,QUEGAR,0,,1,,0,,,,
B1,QUEDOU,1,,8,,0,,,,
C1,QUEDOU,2,,8,,0,,,,
D1,QUEDOU,18,,40,,0,,,,
D1,QUEGAR,0,,1,,1,,,,
D1,ARCMAN,0,,0,,0,,,,
C2,QUEDOU,0,,5,,0,,,,
C2,QUEGAR,0,,1,,0,,,,
C3,QUEAGR,0,,1,,0,,,,
C3,QUEDOU,0,,1,,0,,,,
C4,QUEGOU,9,,12,,0,,,,
A2,ARCMAN,1,,0,,0,,,,
A2,BACPIL,2,,0,,1,,,,
A2,QUEDOU,0,,2,,0,,,,
A3,ARCMAN,113,,0,,0,,,,
A3,QUEDOU,2,,3,,0,,,,
A4,QUEDOU,6,,3,,1,,,,
A4,ARCMAN,3,,0,,0,,,,
B4,QUEDOU,5,,10,,1,,,,
B3,QUEDOU,2,,2,,0,,,,
B3,ARCMAN,1,,0,,0,,,,
B2,QUEDOU,0,,2,,0,,,,
D2,QUEDOU,3,,40,,0,,,,
D3,QUEDOU,7,,2,,0,,,,
D3,QUEAGR,1,,0,,0,,,,
D4,QUEDOU,33,,8,,0,,,,
D4,QUEAGR,1,,0,,0,,,,
D4,HETARB,1,,1,,0,MAYBE ARBMEN,,,
