Plot ID,   PPW1323,,,,Sampler(s),AC MO MK KO,,,Date ,20180627
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
C1,QUEAGR,1,,0,,0,,,,
C1,QUEDOU,2,,0,,0,,,,
D1,QUEDOU,9,,0,,0,,,,
D2,QUEAGR,1,,0,,0,,,,
C2,QUEAGR,1,,0,,0,,,,
B2,QUEGAR,0,,1,,0,,,,
A2,QUEAGR,1,,0,,0,,,,
A3,QUEDOU,1,,0,,0,,,,
C3,QUEAGR,1,,1,,0,,,,
C3,QUEDOU,4,,0,,0,,,,
D3,QUEDOU,8,,5,,0,,,,
D3,QUEGAR,1,,0,,0,,,,
D4,QUEDOU,19,,7,,1,,,,
D4 ,QUEAGR,3,,1,,0,,,,
D4,QUEGAR,4,,1,,0,,,,
C4,QUEDOU,10,,2,,0,,,,
C4,QUEGAR,3,,1,,0,,,,
C4,QUEAGR,2,,0,,0,,,,
B4,QUEDOU,6,,0,,0,,,,
B4 ,QUEGAR,4,,2,,0,,,,
B4,QUEAGR,1,,0,,0,,,,
A4,QUEAGR,2,,1,,4,,,,
A4,QUEDOU,1,,1,,0,,,,
A4,QUEGAR,1,,0,,0,,,,
