Plot ID,   PPW1332,,,,Sampler(s),"MO,MK,AC",,,Date ,20180710
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,QUEGAR,4,,2,,0,,,,
A4,UMBCAL,1,,0,,0,,,,
A2,QUEGAR,2,,4,,0,,,,
B4,UMBCAL,4,,2,,0,,,,
B4,QUEGAR,2,,0,,1,,,,
A1,QUEGAR,0,,1,,0,,,,
A1,UMBCAL,1,,0,,0,,,,
A1,QUEAGR,0,,1,,0,,,,
C4,UMBCAL,0,,3,,0,,,,
B1,QUEGAR,1,,1,,0,,,,
B1,UMBCAL,1,,2,,0,,,,
D3,UMBCAL,2,,3,,0,,,,
B2,QUEGAR,0,,3,,0,,,,
B2,UMBCAL,2,,0,,0,,,,
B2,QUEKEL,0,,2,,0,,,,
C3,QUEGAR,2,,1,,0,,,,
B3,QUEGAR,0,,2,,1,,,,
B3,QUEKEL,1,,1,,0,,,,
A3,QUEGAR,4,,7,,1,,,,
A3,QUEKEL,4,,1,,0,,,,
A3,UMBCAL,1,,0,,0,,,,
C2,QUEKEL,0,,2,,0,,,,
C2,QUEGAR,0,,1,,1,,,,
C2,UMBCAL,0,,2,,0,,,,
C2,AESCAL,0,,1,,0,,,,
D2,UMBCAL,1,,2,,0,,,,
D2,QUEGAR,0,,1,,0,,,,
D1,UMBCAL,2,,3,,0,,,,
D1,QUEKEL,0,,2,,0,,,,
D1,QUEGAR,0,,4,,0,,,,
C1,QUEGAR,0,,3,,0,,,,
C1,UMBCAL,2,,2,,0,,,,
