Plot ID,   PPW1347,,,,Sampler(s),"MK,DK,MO,AK",,,Date ,20180806
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A2,UMBCAL,0,,1,,0,,,,
A2,QUEAGR,0,,2,,0,,,,
A3,UMBCAL,0,,2,,0,,,,
A4,AMOCAL,0,,2,,0,,,,
A4,PRUCER,0,,1,,0,prunus cerasifera,,,
A4,UMBCAL,0,,2,,0,,,,
A4,QUEAGR,0,,1,,0,,,,
B4,UMBCAL,0,,3,,0,,,,
B4,QUEAGR,0,,1,,0,,,,
B3,UMBCAL,0,,4,,0,,,,
B3,QUEBERGAR,0,,1,,0,,,,
B3,AMOCAL,0,,11,,0,,,,
B2,AMOCAL,0,,6,,0,,,,
B2,QUEAGR,0,,4,,0,,,,
B1,UMBCAL,0,,2,,0,,,,
D4,UMBCAL,0,,2,,0,,,,
D3,UMBCAL,0,,2,,0,,,,
D3,QUEAGR,0,,2,,0,,,,
D3,FRACAL,0,,1,,0,,,,
C1,UMBCAL,0,,1,,0,,,,
C1,QUEAGR,0,,1,,0,,,,
C2,UMBCAL,0,,3,,0,,,,
D2,UMBCAL,0,,1,,0,,,,
D1,UMBCAL,0,,3,,0,,,,
D1,QUEAGR,0,,2,,0,,,,
D1,PROCER,0,,1,,0,,,,
C3,QUEAGR,0,,1,,0,,,,
C3,AMOCAL,1,,2,,0,,,,
C4,UMBCAL,0,,3,,0,,,,
C4,QUEAGR,0,,2,,0,,,,
C4,AMOCAL,0,,1,,0,,,,
C4,QUEGAR,0,,1,,0,,,,
