Plot ID,PPW1308,,Sampler(s),"MK,KO,AC,MO",,,,,Date ,20180625,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B4,TR,1248,,,QUEGAR,1,0,0,1,4,,,,46.8,,,NO,
B3,TR,1251,,,QUEGAR,1,0,0,1,4,,,,21.6,,,NO,
B3,TR,1250,,,QUEGAR,1,0,0,1,4,,,,38.6,,,NO,
B4,TR,1249,,,QUEGAR,1,0,0,1,4,,,,47.3,,,NO,
A1,TR,1252,,,QUEGAR,0,0,0,0,0,,,,22.9,,,NO,A1 NOT B2
D4,TR,1256,,,QUEGAR,1,0,0,1,5,,,,31.2,,,NO,
B1,TR,1253,,,QUEGAR,1,0,0,1,4,,,,32.8,,,NO,
B1,TR,1253.1,,,QUEGAR,0,0,0,0,0,,,,21.9,,,NO,
B1,TR,1253.2,,,QUEGAR,1,0,0,1,3,,,,27.8,,,NO,
C2,TR,1255,,,QUEGAR,1,0,0,1,4,,,,23.9,,,NO,
C1,TR,1254,,,QUEKEL,1,0,0,1,4,,,,32.3,,,NO,
C1,TR,1254.1,,,QUEKEL,1,0,0,1,4,,,,21.8,,,NO,
B1,TR,1257,,,QUEGAR,1,0,0,1,3,,,,24.6,,,NO,
D4,SA,5557,495,490,ARCMAN,1,0,0,0,0,46.8,1.95,1,,,,NO,Ne SA
