Plot ID,PPW1317,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180705,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A4,TR,2755,,,QUEGAR,1,0,0,1,3,,,,17.9,,,NO,
A4,TR,2756,,,QUEGAR,1,0,1,1,3,,,,15.5,,,NO,
A4,TR,2754,,,QUEGAR,1,0,1,1,3,,,,20,,,NO,NEW TAG
A4,TR,2757,,,QUEGAR,1,0,1,1,2,,,,23.1,,,NO,
A4,SA,2759,,,UMBCAL,0,1,0,0,0,,,,,69.7,2,NO,OG DEAD 
A4,TR,2758,,,QUEGAR,0,0,0,0,0,,,,10.8,,,NO,
A3,TR,2751,,,QUEGAR,1,0,0,1,3,,,,16.4,,,NO,
A3,TR,2750,,,QUEGAR,1,0,1,1,3,,,,12.3,,,NO,
A3,TR,2753,,,QUEGAR,1,0,0,1,4,,,,17.1,,,NO,
A3,TR,2752,,,QUEGAR,1,0,0,1,3,,,,19.6,,,NO,
A3,TR,2746,,,QUEGAR,0,0,0,0,0,,,,18.9,,,NO,
A3,TR,2749,,,QUEGAR,0,0,0,0,0,,,,8.1,,,NO,
A3,TR,2748,,,QUEGAR,1,0,0,1,2,,,,20.5,,,NO,
A3,TR,2747,,,QUEGAR,1,0,0,1,3,,,,25.6,,,NO,
A1,TR,2745,,,QUEGAR,0,0,0,0,0,,,,15.6,,,NO,
A1,TR,2744,,,QUEGAR,1,0,1,1,3,,,,32,,,NO,
B4,TR,2760,,,QUEGAR,1,0,0,1,2,,,,17.3,,,NO,
B4,TR,2761,,,QUEGAR,1,0,0,1,3,,,,17.5,,,NO,
B4,TR,2762,,,QUEGAR,0,0,0,0,0,,,,,,,NO,DEAD + GONE/SNAG
B2,TR,2770,,,QUEGAR,1,0,0,1,3,,,,15.6,,,NO,
C1,TR,2772,,,QUEGAR,1,0,0,1,2,,,,12.4,,,NO,
B1,TR,2771,,,QUEGAR,1,0,0,1,3,,,,18.1,,,NO,
C2,TR,2780,,,QUEGAR,1,0,0,1,2,,,,18.3,,,NO,
C2,TR,2780.1,,,QUEGAR,1,0,0,1,2,,,,15.8,,,NO,
B2,TR,2768,,,QUEGAR,1,0,0,1,2,,,,13.3,,,NO,
B2,TR,2769,,,QUEDEC,0,0,0,0,0,,,,,,,NO,DEAD + GONE/ TAG NOT FOUND 
B3,TR,2763,,,QUEGAR,1,0,0,1,3,,,,19.6,,,NO,
B3,TR,2764,,,QUEGAR,1,0,0,1,3,,,,15.8,,,NO,
B3,TR,2765,,,QUEGAR,1,0,0,1,4,,,,17.9,,,NO,
B3,TR,2767,,,QUEGAR,0,0,0,0,0,,,,13.4,,,NO,
B3,TR,2766,,,QUEGAR,1,0,0,1,4,,,,18,,,NO,
D1,TR,2793,,,QUEGAR,0,0,0,0,0,,,,21.2,,,NO,TREE FELL
D1,TR,2793.1,,,QUEGAR,0,0,0,0,0,,,,14.4,,,NO,
D1,TR,2794,,,QUEGAR,0,0,0,0,0,,,,17.4,,,NO,FELL DOWN
D1,TR,2796,,,QUEGAR,1,0,0,1,3,,,,18.5,,,NO,
C1,TR,27775,,,QUEGAR,1,0,0,1,1,,,,16.1,,,NO,
C1,TR,2774,,,QUEGAR,1,1,0,1,2,,,,17.7,58.5,1,NO,
C1,TR,2776,,,QUEGAR,1,0,0,1,2,,,,9.6,,,NO,
C1,TR,2773,,,QUEGAR,1,0,0,1,4,,,,23.7,,,NO,
C1,TR,2773.1,,,QUEGAR,0,0,0,0,0,,,,12.5,,,NO,TRUNK PARTIALLY BURNED 
D1,TR,2792,,,QUEGAR,0,0,0,0,0,,,,,,,NO,GONE 
D1,TR,2795,,,QUEGAR,0,0,0,0,0,,,,,,,NO,GONE 
D2,TR,2791,,,QUEGAR,1,0,0,1,4,,,,20.7,,,NO,
D2,TR,2790,,,QUEGAR,1,1,1,0,0,,,,13.8,,,NO,
D2,TR,2787,,,QUEGAR,1,0,0,1,4,,,,22.9,,,NO,
D2,TR,2790.1,,,QUEGAR,0,0,0,0,0,,,,2.45,,,NO,
D2,TR,2788,,,QUEGAR,1,1,0,1,2,,,,14.9,,,NO,
D2,TR,2789,,,QUEGAR,1,1,0,1,2,,,,24.6,,,NO,MISSING TAG 
D3,TR,2785,,,QUEGAR,1,0,0,1,4,,,,15.7,,,NO,
D3,SA,2786,,,UMBCAL,1,0,1,1,3,,,,17.7,,,NO,
D3,TR,2784,,,QUEAGR,0,0,0,0,0,,,,,,,NO,GONE 
D4,TR,2783,,,QUEAGR,0,0,0,0,0,,,,,,,NO,GONE 
D4,TR,2781,,,QUEGAR,1,0,0,1,3,,,,22.2,,,NO,
D4,TR,2782,,,QUEGAR,1,0,0,1,3,,,,24.5,,,NO,
C4,TR,2798,,,QUEGAR,1,0,0,1,4,,,,21.1,,,NO,
C4,TR,2798.1,,,QUEGAR,1,0,0,1,4,,,,14.5,,,NO,
C2,SA,2779,,,AESCAL,0,0,0,0,0,,,,,,,NO,GONE 
C2,TR,2778,,,QUEGAR,1,0,1,1,3,,,,18.9,,,NO,
C2,TR,2777,,,QUEGAR,1,0,0,1,3,,,,2.06,,,NO,
