Plot ID,1350,,Sampler(s),"MK,DK,MO,AK",,,,,Date ,20180809,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A4,TR,4186,,,PSEMEN,0,0,0,0,0,,,,2.01,,,,
A4,TR,4192,,,PSEMEN,1,0,0,1,4,,,,33.2,,,,
A4,TR,4199,,,HETARB,0,1,0,0,0,,,,3.02,124.3,18,,OG DEAD
A4,TR,4199.1,,,HETARB,0,0,0,0,0,,,,1.81,,,,
A4,TR,4199.2,,,HETARB,0,0,0,0,0,,,,1.06,,,,
A4,TS,4199.3,,,HETARB,0,0,,,,,1.68,,,,,,
A4,TR,4086,,,PSEMEN,0,0,0,0,0,,,,4.68,,,,
A3,TR,4178,,,PSEMEN,1,0,0,1,2,,,,19.7,,,,
A4,TR,4198,,,HETARB,0,1,0,0,0,,,,,81,4,,"OG DEAD, GONE"
A4,TR,4198.1,,,HETARB,0,0,0,0,0,,,,,,,,DEAD/GONE
A4,TS,4198.2,,,HETARB,0,0,,,,,,,,,,,DEAD/GONE
A4,TR,4155,,,PSEMEN,1,0,0,1,4,,,,48.9,,,,
A4,TR,4179,,,PSEMEN,1,0,0,1,3,,,,42.5,,,,
A4,TR,4193,,,PSEMEN,1,0,0,1,3,,,,40.1,,,,
A3,TR,4181,,,HETARB,0,0,0,0,0,,,,,,,,GONE
A3,TR,4181.1,,,HETARB,0,0,0,0,0,,,,,,,,GONE
A3,TS,4181.2,,,HETARB,0,1,,,,,1.94,,,36.3,0,,OG DEAD
A3,TR,4168,,,QUEKEL,1,0,1,0,1,,,,17.5,,,,
A3,TR,4168.1,,,QUEKEL,0,0,0,0,0,,,,,,,YES,DEAD/GONE
A3,TR,4168.2,,,QUEKEL,0,0,0,0,0,,,,,,,,DEAD/GONE
A3,TR,4185,,,PSEMEN,0,0,0,0,0,,,,6.14,,,,
A3,TR,4197,,,PSEMEN,1,0,0,1,2,,,,13.4,,,,
A3,SA,4187,,,UMBCAL,0,1,,,,,1,2,,35.2,0,,
A2,TR,4177,,,PSEMEN,1,0,1,1,3,,,,44.2,,,,
A2,TR,4166,,,PSEMEN,1,0,0,1,3,,,,31.9,,,,
A2,TR,4170,,,PSEMEN,1,0,0,1,3,,,,44,,,,
A2,SA,4188,,,UMBCAL,0,1,,,,,1.68,1,,65.1,1,,OG DEAD
A2,TS,4182,,,AMOCAL,0,1,,,,,,,,73.9,2,,OG DEAD/GONE
,,,,,,,,,,,,,,,,,,
C4,SA,4288,,,UMBCAL,0,0,,,,,,,,,,YES,DEAD/GONE 
D4,TR,4290,,,PSEMEN,1,0,0,1,3,,,,30.8,,,,
D4,TR,4289,,,HETARB,0,1,0,0,0,,,,2.7,145.1,12,,
D4,TR,4289.1,,,HETARB,0,0,0,0,0,,,,1.69,,,,
D4,TR,4289.2,,,HETARB,0,0,0,0,0,,,,2.19,,,,
D4,TR,4289.3,,,HETARB,0,1,0,0,0,,,,2.24,10,12,,
D4,TR,4289.4,,,HETARB,0,1,0,0,0,,,,1.52,115.9,4,,
D4,TR,4289.5,,,HETARB,0,0,0,0,0,,,,0.94,,,,
D4,TR,4289.6,,,HETARB,0,1,0,0,0,,,,2.52,144.4,4,,
D4,TR,4289.7,,,HETARB,0,0,0,0,0,,,,1.22,,,,
D4,TR,4289.8,,,HETARB,0,1,0,0,0,,1.83,,1.49,115.3,3,,
D4,TR,4289.9,,,HETARB,0,1,0,0,0,,,,1.71,10.6,3,,
D4,TR,4289.11,,,HETARB,0,1,,,,,0.84,,,129,5,,TAG SAYS ####.10
D4,SA,4292,,,UMBCAL,0,0,,,,,,,,,,YES,DEAD/GONE
D4,TR,4291,,,HETARB,0,1,0,0,0,,,,1.58,96.5,5,,
D4,TR,4291.1,,,HETARB,1,1,1,0,1,,,,2.5,128.2,4,,
D4,TR,4291.2,,,HETARB,0,1,0,0,0,,,,2.4,109.7,10,,
D4,TR,4291.3,,,HETARB,0,0,0,0,0,,,,1.58,,,,
D4,TS,4291.4,,,HETARB,0,1,,,,,1.15,,,108.3,12,,TAG MOVE
D4,TR,4297,,,QUEGAR,1,1,0,1,4,,,,2.06,89.4,19,,
D3,SA,4393,,,UMBCAL,0,0,,,,,0.68,,,,,,
D4,SA,4295,,,AMOCAL,0,1,,,,,1.1,0,,136.6,10,,OG DEAD
D4,TR,4299,,,HETARB,0,1,0,0,0,,,,6.8,133.1,26,,
D4,TR,4299,,,HETHET,0,0,0,0,0,,,,3.16,,,,
D4,TR,4299.2,,,HETARB,0,0,0,0,0,,,,1.39,,,,
D4,TR,4299.3,,,HETARB,0,1,0,0,0,,,,3.5,163.7,38,,
D4,TR,4299.4,,,HETARB,0,0,0,0,0,,,,2.5,,,,
D4,TR,4299.5,,,HETARB,0,0,0,0,0,,,,0.9,,,,
D4,TS,4299.6,,,HETARB,0,1,,,,,2.3,,,121.3,8,,
,,,,,,,,,,,,,,,,,,
A2,SA,4169,,,AMOCAL,0,1,,,,,,,,119.6,4,,OG DEAD/GONE
A2,SA,4176,,,UMBCAL,0,1,,,,,1.3,0,,40.2,0,,OG DEAD
A1,SA,4160,,,AMOCAL,0,1,,,,,,,,80.8,6,,OG DEAD/GONE
A1,TR,4196,,,HETARB,0,1,0,0,0,,,,,109.8,4,,OG DEAD/GONE
A1,TR,4196.1,,,HETARB,0,1,0,0,0,,,,1.1,98.9,7,,OG DEAD
A1,TR,4196.2,,,HETARB,0,0,0,0,0,,,,1.06,,,,
A1,TS,4196.3,,,HETARB,0,1,,,,,1.52,,,117.6,9,,OG DEAD
A1,TR,4194,,,QUEAGRI,1,1,0,1,2,,,,19.2,81,1,,
A1,SA,4159,,,AMOCAL,0,1,,,,,,,,125,12,,OG DEAD/GONE
A1,SA,4121,,,UMBCAL,0,0,,,,,,,,,,YES,GONE/
A1,SA,4117,,,AMOCAL,0,1,,,,,,,,122.6,6,,OG DEAD/GONE
A1,SA,4300,,,AMOCAL,0,1,,,,,,,,128.4,12,,OG DEAD/GONE
A1,SA,4118,,,AMOCAL,0,1,,,,,,,,78,7,,OG DEAD/GONE
A1,SA,4119,,,AMOCAL,0,1,,,,,,,,105.5,3,,OG DEAD/GONE
