Plot ID,1301,,Sampler(s),"MO, MK, AC, KO",,,,,Date ,20180717,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A2,TR,1001,,,QUEGAR,1,0,1,1,2,,,,19.9,,,no,
A2,TR,1002,,,QUEGAR,0,0,0,0,0,,,,21.6,,,no,
A2,TR,1003,,,QUEGAR,1,0,1,1,2,,,,20.6,,,no,
A4,TR,1004,,,QUEGAR,1,0,1,1,2,,,,28,,,no,
A4,TR,1005,,,QUEGAR,1,0,1,1,3,,,,33.1,,,no,
A4,TR,1006,,,QUEGAR,1,1,1,1,2,,,,31.1,,0,no,
B4,TR,1009,,,QUEGAR,1,1,1,1,1,,,,13,,,no,
B4,TR,1011,,,QUEGAR,1,0,1,1,3,,,,22.9,,,no,
B4,TR,1010,,,QUEGAR,1,0,1,1,2,,,,26,,,no,
B3,TR,1008,,,QUEGAR,1,0,1,1,2,,,,33.6,,,no,
B1,TR,1007,,,QUEGAR,1,0,1,1,2,,,,29.9,,,no,
C1,TR,1014,,,QUEGAR,0,1,0,0,0,,,,20.8,75.5,7,no,
C1,TR,1014.1,,,QUEGAR,0,1,0,0,0,,,,14.5,80.3,8,no,
C1,TR,1012,,,QUEGAR,1,0,1,1,1,,,,16.6,,,no,
C1,TR,1012.1,,,QUEGAR,1,0,1,1,1,,,,16.1,,,no,
C2,TR,1015,,,QUEGAR,1,0,1,1,2,,,,30.2,,,no,
C2,TR,1017,,,QUEGAR,1,1,1,1,1,,,,20.1,,,no,
C2,TR,1018,,,QUEGAR,1,0,1,1,2,,,,24.3,,,no,
C3,TR,1020,,,QUEGAR,1,0,1,1,2,,,,36.2,,,no,
D4,TR,1021,,,QUEGAR,1,0,1,1,2,,,,35,,,no,
D2,TR,1022,,,QUEGAR,1,0,1,1,1,,,,28.3,,,no,
A3,SA,999.1,,,AESCAL,0,,,,,,0.32,,,,,no,
