Plot ID,1341,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180720,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
C2,TR,1975,,,UMBCAL,0,1,0,0,0,,,,6.8,100.3,17,0,
D2,SA,1989,,,UMBCAL,0,1,,,,,2.47,0,,71.8,5,0,og deag
D2,SA,1991,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
D2,SA,1990,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
D1,SA,1992,,,PSEMEN,0,0,,,,,1.48,0,,,,0,
C2,TR,1974,,,UMBCAL,0,1,0,0,0,,,,2.76,65.5,3,0,
C2,SA,1976,,,UMBCAL,0,0,,,,,1.17,2,,,,0,
C2,SA,1973,,,PSEMEN,0,0,,,,,,,,,,0,dead/gone- tag not found
C3,TR,1978,,,QUEAGR,1,1,0,1,2,,,,26.8,,0,0,
C3,TR,1979,,,QUEAGR,0,1,0,0,0,,,,19.8,,0,0,
C4,TR,1983,,,QUEAGR,0,1,0,0,0,,,,15.7,,,0,DBH- 1/2 of actual size- tree split and burned 
C3,SA,1981,,,QUEAGR,0,0,,,,,0.97,0,,,,0,
C3,TR,1968,,,QUEAGR,1,1,1,1,2,,,,33.5,,,0,
C3,TR,1968.1,,,QUEAGR,0,0,0,0,0,,,,20.5,,,0,
C3,SA,1982,,,QUEAGR,0,0,,,,,,,,,,1,dead/gone
C3,SA,1980,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
C3,SA,1977,,,TORCAL,0,0,,,,,,,,,,0,dead/gone- tag not found
C4,TR,1986,,,PSEMEN,1,0,0,1,1,,,,51.3,,,0,
C4,TR,1988,,,QUEAGR,1,1,1,0,1,,,,20.8,75.1,1,0,
C4,SA,1985,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
C4,SA,1987,,,PSEMEN,0,0,,,,,0.84,0,,,,0,
C4,SA,1995,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
C4,SA,1984,,,PSEMEN,0,0,,,,,,,,,,0,dead/gone
B4,SA,1994,,,QUEAGR,0,1,,,,,0.84,0,,48.5,0,0,og dead
B4,SA,1966,,,PSEMEN,0,0,,,,,,,,,,0,dead/gone- tag not found
B3,SA,1969,,,UMBCAL,0,1,,,,,,,,30.2,0,0,og dead
B3,SA,1967,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
B1,SA,1970,,,NOTDEN,0,1,,,,,0.96,0,,56.1,1,0,
B1,TR,1972,,,QUEAGR,1,1,1,0,1,,,,27.2,,0,0,
B1,TR,1972.1,,,QUEAGR,0,0,0,0,0,,,,2.72,,,0,
B1,SA,1971,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
A1,TR,2499,,,QUEAGR,0,1,0,0,0,,,,21,,,0,
A1,SA,2498,,,UMBCAL,0,0,,,,,1.56,0,,,,0,
A2,TR,1930,,,PSEMEN,1,0,0,1,3,,,,101.8,,,0,
A2,TR,1929,,,PSEMEN,1,0,0,1,1,,,,58.3,,,0,
A2,SA,2800,,,PSEMEN,0,0,,,,,,,,,,0,dead/gone- tag not found
A3,SA,1928,,,UMBCAL,0,1,,,,,1.31,0,,39.9,0,0,og dead
A4,TR,1927,,,QUEAGR,1,1,1,1,2,,,,27.3,,0,0,
A4,SA,1993,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
A4,SA,1926,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
