DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20180428,1321,"MFO, RLO",TAUKEL,4,FRT,,,,,,,,,,,,,,,,,,,,,1,FRT,
20180428,1321,"MFO, RLO",GALAPA,3,FLR,,,,,,,2,FLR,,,3,FRT,,,1,FLR,1,FRT,3,FRT,2,FRT,
20180428,1321,"MFO, RLO",NEMHET,3,FLR,,,,,,,2,FLR,1,FLR,2,FLR,4,FLR,2,FLR,2,FLR,3,FLR,1,FLR,
20180428,1321,"MFO, RLO",CYNGRA,1,VEG,,,,,,,,,,,,,,,,,,,,,2,FRT,
20180428,1321,"MFO, RLO",LONHIS,,,,,,,,,,,,,,,,,,,1,VEG,,,,,
20180428,1321,"MFO, RLO",TOXDIV,,,1,VEG,,,7,VEG,5,VEG,2,VEG,3,VEG,1,VEG,1,VEG,,,,,1,VEG,
20180428,1321,"MFO, RLO",LATVES,1,FLR,1,VEG,1,VEG,2,VEG,2,VEG,,,2,VEG,1,VEG,2,VEG,10,VEG,5,VEG,7,VEG,
20180428,1321,"MFO, RLO",TORARV,3,VEG,,,,,2,VEG,2,VEG,1,VEG,2,VEG,4,VEG,3,VEG,3,VEG,2,VEG,2,VEG,
20180428,1321,"MFO, RLO",SANCRA,2,FRT,,,,,1,VEG,1,FRT,,,1,FRT,2,FRT,1,VEG,2,FRT,1,VEG,1,FRT,
20180428,1321,"MFO, RLO",STARIG,1,VEG,,,,,,,1,VEG,,,8,VEG,1,VEG,,,1,VEG,,,3,VEG,
20180428,1321,"MFO, RLO",CHLPOM,1,VEG,,,,,,,,,,,,,,,,,,,,,1,VEG,
20180428,1321,"MFO, RLO",RANOCC,,,,,,,,,,,,,,,,,1,FLR,,,,,,,
20180428,1321,"MFO, RLO",GALCAL,,,2,VEG,,,,,,,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",ANIMAD,,,,,,,1,FLR,,,1,FLR,1,VEG,,,,,,,1,VEG,1,VEG,
20180428,1321,"MFO, RLO",MELTOR,,,,,,,,,,,,,2,VEG,,,,,,,1,FLR,3,FLR,
20180428,1321,"MFO, RLO",TOXFRE,,,,,,,,,,,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",MEDPOL,,,,,1,VEG,,,,,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",PROHOO,,,,,2,VEG,,,,,,,,,,,,,,,,,3,VEG,
20180428,1321,"MFO, RLO",UNKDIC,,,,,1,VEG,,,,,,,,,,,,,2,VEG,2,VEG,,,
20180428,1321,"MFO, RLO",MELGEY,,,,,5,VEG,1,VEG,,,,,,,,,1,VEG,,,,,1,VEG,
20180428,1321,"MFO, RLO",HYPGLA,,,,,,,,,,,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",ROSGYM,,,,,,,,,1,FRT,,,,,,,,,,,1,VEG,,,
20180428,1321,"MFO, RLO",ADIJOR,,,,,,,3,VEG,,,,,,,,,,,,,3,VEG,,,
20180428,1321,"MFO, RLO",VICSAT,,,,,,,,,1,VEG,1,VEG,,,1,VEG,,,1,FLR,1,FLR,,,
20180428,1321,"MFO, RLO",PTEAQU,,,,,,,,,8,VEG,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",CARCAL,,,,,,,,,1,VEG,,,,,,,1,VEG,,,1,VEG,,,
20180428,1321,"MFO, RLO",OSMBER,,,,,,,,,,,3,FLR,1,VEG,,,1,VEG,1,VEG,2,VEG,,,
20180428,1321,"MFO, RLO",CYNECH,,,,,,,,,,,1,VEG,,,1,VEG,1,VEG,1,VEG,1,VEG,,,
20180428,1321,"MFO, RLO",BRODIA,,,,,,,,,,,1,FLR,,,,,,,1,FLR,1,FLR,,,
20180428,1321,"MFO, RLO",ELYGLA,,,,,,,,,,,1,VEG,,,,,,,,,1,VEG,,,
20180428,1321,"MFO, RLO",TONTEN,,,,,,,,,,,1,FLR,,,,,,,1,FLR,,,,,
20180428,1321,"MFO, RLO",CERGLO,,,,,,,,,,,,,,,2,FLR,,,,,,,,,
20180428,1321,"MFO, RLO",DICCAP,,,,,,,,,,,,,,,,,,,1,VEG,,,,,
20180428,1321,"MFO, RLO",IRIMAC,,,,,,,,,,,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",SONASP,,,,,,,,,,,,,,,,,,,,,,,,,
20180428,1321,"MFO, RLO",LUZCOM,,,,,,,,,,,,,,,,,,,,,1,FRT,,,
