Plot,Subplot,Num,UTM.E,UTM.N,Species,Survival,Basal,Epicormic,Apical,PercLivingCanopy,DBH_cm,BasalResproutHeight,BasalResproutCount,Senesced,Notes
1501,A1,7702,,,QUEGAR,1,0,1,0,1,29.2,,,S,
1501,A1,7703,,,QUEGAR,1,0,1,1,2,29.3,,,S,
1501,A1,7708,,,QUEGAR,1,0,1,1,2,23.3,,,S,
1501,A1,7709,,,QUEGAR,1,0,0,0,0,39.5,,,,Dead on Ground
1501,A1,7709.1,,,QUEGAR,1,0,0,0,0,,,,,Dead on Ground
1501,A1,7709.2,,,QUEGAR,0,0,0,0,0,24.5,,,,Dead on Ground
1501,A1,7710,,,QUEGAR,0,0,1,1,1,25.7,,,S,
1501,A1,7711,,,QUEGAR,1,0,1,0,1,23,,,S,
1501,A1,7711.1,,,QUEGAR,0,0,1,1,0,22.8,,,S,
1501,A1,7712,,,QUEGAR,1,0,1,0,0,28,,,S,
1501,A1,7713,,,QUEGAR,0,0,0,0,0,39.9,,,,Snag
1501,A1,7714,,,QUEGAR,1,0,1,0,1,40.4,,,S,
1501,A1,7715,,,QUEGAR,1,0,1,0,1,48.1,,,S,
1501,A1,7716,,,QUEDOU,1,0,1,0,1,27.5,,,S,Powdery Mildew
1501,A1,7717,,,QUEDOU,1,1,1,0,1,25.4,113.2,7,S,
1501,A2,7706,,,QUEGAR,1,0,1,1,1,34,,,S,
1501,A2,7707,,,QUEDOU,1,0,1,0,1,21.3,,,S,
1501,A2,7718,,,QUEGAR,1,1,1,1,1,27.5,,0,S,
1501,A2,7719,,,QUEGAR,1,0,1,1,2,37.2,,,S,
1501,A2,7719.1,,,QUEGAR,1,0,1,1,1,23.8,,,S,
1501,A2,7720,,,QUEGAR,1,0,1,1,1,22.7,,,S,
1501,A2,7721,,,QUEGAR,1,0,0,0,0,29.8,,,S,
1501,A2,7721.1,,,QUEGAR,1,0,0,1,1,24.9,,,S,
1501,A2,7721.2,,,QUEGAR,1,0,1,1,1,24.7,,,S,
1501,A2,7722,,,QUEGAR,1,0,1,1,2,25.8,,,S,
1501,A2,7724,,,QUEGAR,1,1,1,1,1,22.1,55.6,2,S,
1501,A2,7725,,,QUEGAR,1,0,1,0,1,25.2,,,S,
1501,A2,7725.1,,,QUEGAR,1,0,0,1,0,21.3,,,S,
1501,A2,7726,,,QUEGAR,1,0,1,1,1,19.7,,,S,
1501,A2,7770,,,QUEGAR,1,0,1,1,2,26.7,,,S,
1501,A2,7771,,,QUEGAR,1,0,1,1,2,28.6,,,S,
1501,A3,7698,,,QUEGAR,1,0,1,1,3,36.3,,,S,
1501,A3,7699,,,QUEGAR,1,0,1,1,2,44.9,,,S,
1501,A3,7756,,,QUEGAR,1,0,1,1,3,24.9,,,S,
1501,A3,7757,,,QUEGAR,1,0,1,1,2,30.7,,,S,
1501,A3,7758,,,QUEGAR,1,0,1,1,3,28.2,,,S,
1501,A3,7758.1,,,QUEGAR,1,0,1,1,3,25.4,,,S,
1501,A3,7759,,,QUEGAR,1,0,1,1,2,36.7,,,S,
1501,A3,7760,,,QUEGAR,1,0,1,1,3,21.8,,,S,
1501,A3,7761,,,QUEGAR,1,0,1,1,2,23.7,,,S,
1501,A3,7762,,,QUEGAR,1,0,1,1,2,26.5,,,S,
1501,A3,7764,,,QUEGAR,1,1,1,1,0,23.3,84.8,3,S,
1501,A4,7636,,,QUEGAR,1,0,0,1,4,35.9,,,S,Not in list
1501,A4,7637,,,QUEGAR,1,0,1,1,3,37.8,,,S,
1501,A4,7637.1,,,QUEGAR,1,0,0,1,2,34.9,,,S,
1501,A4,7638,,,QUEGAR,1,1,1,1,4,39.8,,0,S,
1501,A4,7638.1,,,QUEGAR,1,0,1,1,3,35,,,S,
1501,A4,7639,,,QUEGAR,1,0,1,1,2,31.2,,,S,
1501,A4,7640,,,QUEGAR,1,0,1,1,4,42.6,,,S,
1501,A4,7700,,,QUEGAR,1,0,1,1,2,26,,,S,
1501,A4,7749,,,QUEGAR,1,0,1,1,3,25.8,,,S,
1501,A4,7750,,,QUEGAR,1,0,1,1,2,24.4,,,S,Mistletoe
1501,A4,7751,,,QUEGAR,1,0,1,1,3,20,,,S,
1501,A4,7752,,,QUEGAR,1,0,1,1,4,36.1,,,S,
1501,A4,7753,,,QUEGAR,1,0,1,1,4,24.3,,,S,
1501,A4,7754,,,QUEGAR,1,0,1,1,4,29.4,,,S,
1501,A4,7755,,,QUEGAR,1,0,1,1,1,18.5,,,S,
1501,A5,7633,,,QUEGAR,1,0,1,1,4,60.6,,,S,
1501,A5,7633.1,,,QUEGAR,1,0,1,0,5,52.7,,,S,
1501,A5,7634,,,QUEGAR,1,0,1,1,3,38.3,,,S,
1501,A5,7635,,,QUEGAR,1,1,1,1,4,44.2,,0,S,Not in DB
1501,A5,10706,,,QUEAGR,1,0,1,1,3,74.8,,,,
1501,A5,10706.1,,,QUEAGR,1,0,1,1,3,43.5,,,,OUT
1501,B1,7585,,,QUEGAR,1,0,1,1,3,35.8,,,S,
1501,B1,7586,,,QUEGAR,1,0,1,1,3,31.3,,,S,
1501,B1,7587,,,QUEGAR,1,0,1,1,2,39.3,,,S,
1501,B1,7588,,,QUEGAR,1,0,1,1,2,33.8,,,S,
1501,B1,7588.1,,,QUEGAR,1,0,1,1,2,34.4,,,S,
1501,B1,7589,,,QUEGAR,1,0,1,1,2,33.4,,,S,
1501,B1,7590,,,QUEDOU,1,0,1,1,1,22.5,,,S,
1501,B1,7592,,,QUEDOU,1,0,1,1,3,32.4,,,S,
1501,B1,7593,,,QUEGAR,1,0,1,1,3,32,,,S,
1501,B1,7597,,,QUEGAR,1,0,0,1,0,20.2,,,S,
1501,B1,7598,,,QUEGAR,1,0,1,1,1,20,,,S,
1501,B1,7599,,,QUEGAR,1,0,1,1,3,28.1,,,S,
1501,B1,7599.1,,,QUEGAR,1,0,1,1,2,23.8,,,S,
1501,B1,7600,,,QUEGAR,1,0,1,1,1,26.3,,,S,
1501,B1,7600.1,,,QUEGAR,1,0,1,1,1,20.7,,,S,
1501,B1,7701,,,QUEGAR,1,0,1,1,2,32.1,,,S,
1501,B2,7591,,,QUEDOU,1,0,1,1,3,24.9,,,S,
1501,B2,7594,,,QUEGAR,1,0,1,1,3,29.1,,,S,
1501,B2,7595,,,QUEGAR,1,0,1,1,2,30.1,,,S,
1501,B2,7686,,,QUEGAR,1,0,1,1,3,39.8,,,S,
1501,B2,7704,,,QUEGAR,1,0,1,1,3,36.1,,,S,
1501,B2,7705,,,QUEDOU,1,0,0,1,0,17.9,,,S,
1501,B2,7723,,,QUEDOU,1,0,1,1,2,23.3,,,S,
