Plot ID,   PPW1308,Date,20180625,,Samplers,"MK,KO,MO,AC",,
Notes,NO OLD HOBO PRESENT,,,,,,,
Hobos downloaded? ,,Old Hobo:,,New Hobo:,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W26,N18,S6,E17",B4SW-,"W18,N13,E14,S8",D2SW-,"E3,N9,W5,S2",,D4SW-,"N31,E5,S4,W14"
C3SW(center)- ,"W21,N22,E8,S7",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,5,5,0,65,25,100,
A2,0,5,0,0,70,20,100,
A3,0,5,0,0,75,20,100,
A4,0,5,0,0,85,10,100,
B1,0,5,15,0,65,15,100,
B2,0,5,0,0,80,15,100,
B3,0,5,0,0,80,15,100,
B4,0,5,0,0,85,10,100,
C1,0,5,0,0,75,20,100,
C2,0,5,0,0,85,10,100,
C3,0,5,0,0,80,15,100,
C4,0,5,0,0,80,15,100,
D1,0,5,0,0,65,30,100,
D2,0,5,0,0,80,15,100,
D3,0,5,0,0,80,15,100,
D4,0,5,5,0,75,15,100,
