Plot ID,   PPW1324,Date,20180702,,Samplers,"AC,MO,MK,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N13,E14,S9,W7",B4SW-,"S13,E2,N28,W8",D2SW-,"S8,W3,N8,E14",,D4SW-,"N8,E17,S13,W9"
C3SW(center)- ,"S4,W10,N17,E14",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,15,3,2,70,10,100,
A2,0,20,0,5,60,25,100,
A3,0,30,0,5,40,25,100,
A4,0,30,0,5,50,15,100,
B1,0,18,0,2,65,15,100,
B2,0,20,2,3,55,20,100,
B3,0,15,0,5,60,20,100,
B4,0,20,0,5,55,20,100,
C1,0,20,0,5,40,35,100,
C2,0,35,0,5,35,25,100,
C3,0,30,0,5,40,25,100,
C4,0,25,0,5,40,30,100,
D1,0,25,0,5,35,35,100,
D2,0,25,0,5,45,25,100,
D3,0,35,0,5,35,25,100,
D4,0,25,0,5,45,25,100,
