Plot ID,   PPW1333,Date,20180710,,Samplers,"MK,MO,AC",,
Notes,HOBO NAMED 1332 ON TABLET-BUT HAS DIFFERENT SERIAL NUMBER THAN REAL 1332.  ,,,,,,,
Hobos downloaded? ,,Old Hobo:,NA,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N25,W12,E6,S14",B4SW-,"S24,W34,N31,E21",D2SW-,"E19,S9,W8,N18",,D4SW-,"E64,S16,W9,N8"
C3SW(center)- ,"N2,E32,S4,W5",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,25,0,5,45,25,100,
A2,0,25,0,5,40,30,100,
A3,0,20,0,5,55,20,100,
A4,0,15,0,5,50,25,95,
B1,0,40,0,5,30,25,100,
B2,0,45,0,5,25,25,100,
B3,0,35,0,5,35,25,100,
B4,0,15,0,5,45,35,100,
C1,0,20,0,5,30,45,100,
C2,0,35,0,5,15,45,100,
C3,0,60,0,5,15,20,100,
C4,0,20,0,5,40,35,100,
D1,0,15,0,5,55,25,100,
D2,0,25,0,5,40,30,100,
D3,0,20,0,5,35,40,100,
D4,0,15,0,5,45,35,100,
