Plot ID,   PPW1301,Date,20180717,,Samplers,"KO, MK, MO, AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,yes,New Hobo:,yes,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S95,E82,N90, W86",B4SW-,"W88, S88, E81, N73",D2SW-,"N90, W94, S88, E86",,D4SW-,"S74, W92, n88, E92"
C3SW(center)- ,"S88, E82, N90, W86",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,60,0,5,30,5,100,
A2,0,55,0,10,30,5,100,
A3,0,50,0,5,40,5,100,
A4,0,45,1,10,40,4,100,
B1,0,50,0,5,40,5,100,
B2,0,50,1,10,30,4,100,
B3,0,50,1,9,35,5,100,
B4,0,50,0,5,40,5,100,
C1,0,45,1,7,40,7,100,
C2,0,50,0,10,35,5,100,
C3,0,42,4,10,40,4,100,
C4,0,45,0,10,40,5,100,
D1,0,40,0,5,35,20,100,
D2,0,40,0,10,45,5,100,
D3,0,40,0,5,50,5,100,
D4,0,40,0,5,50,5,100,
