Plot ID,   PPW1310,Date,20180619,,Samplers,"MK,MO,KO,AC",,
Notes,POWDERY MILDEW & MISTLETOE * NOT RECORDED ,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W80,N92,E20,S28",B4SW-,"W44,N86,S40,E36",D2SW-,"N80,W20,S10,E36",,D4SW-,"E48,N66,W13,S26"
C3SW(center)- ,"W82,N90,E60,S15",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1, ,25,0,,70,5,,
A2,,30,0,,65,5,,
A3,,20,,,75,5,,
A4,,15,,,80,5,,
B1,,30,0,,65,5,,
B2,,35,0,,60,5,,
B3,,25,1,,70,4,,
B4,,24,1,,70,5,,
C1,,36,4,,55,5,,
C2,,35,0,,60,5,,
C3,,32,4,,60,4,,
C4,,44,1,,50,5,,
D1,,38,2,,55,5,,
D2,,36,4,,55,5,,
D3,,34,1,,60,5,,
D4,,30,0,,58,4,,
