Plot ID,   PPW1315,Date,20180705,,Samplers,"MK,MO,AC,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W11,N32,E9,S7",B4SW-,"S11,E12,N21,W9",D2SW-,"N10,E8,E6,W16",,D4SW-,"W11,S5,E10,N24"
C3SW(center)- ,"W24,N27,E12,S2",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,20,5,15,45,15,100,
A2,0,20,0,15,50,15,100,
A3,0,35,2,13,35,15,100,
A4,0,30,0,15,40,15,100,
B1,0,20,0,15,45,20,100,
B2,0,20,0,15,50,15,100,
B3,0,25,0,15,50,10,100,
B4,0,30,0,15,40,15,100,
C1,0,25,0,15,45,15,100,
C2,0,15,0,10,60,15,100,
C3,0,25,0,15,50,10,100,
C4,0,40,0,10,35,15,100,
D1,0,25,0,15,50,15,105,
D2,0,20,0,15,55,10,100,
D3,0,15,0,10,60,15,100,
D4,0,25,0,10,50,15,100,
