Plot ID,PPW1319,Date,20180703,,Samplers,"KO,MK,AC,MO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"E17, S33, W4, N21",B4SW-,"N18, E16, S14, W34",D2SW-,"N30, E32, S28, W38",,D4SW-,"N23, E40, S14, W14"
C3SW(center)- ,"W52, N14, E24, S3",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,30,0,5,35,30,100,
A2,0,20,0,5,50,25,100,
A3,0,20,2,10,30,38,100,
A4,0,20,0,5,35,40,100,
B1,0,35,1,9,30,25,100,
B2,0,35,5,5,40,15,100,
B3,0,30,0,15,30,25,100,
B4,0,35,0,10,30,25,100,
C1,0,35,0,3,35,25,100,
C2,0,25,0,10,38,27,100,
C3,0,20,0,10,45,25,100,
C4,0,25,0,15,30,30,100,
D1,0,25,0,10,40,25,100,
D2,0,20,0,5,40,35,100,
D3,0,15,0,5,60,20,100,
D4,0,20,10,5,35,30,100,
