Plot ID,   PPW1321,Date,20180726,,Samplers,"MK, MO, KO, AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,Y,New Hobo:,Y,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W20,N23,E14,S12",B4SW-,"S7,W9,N17,E27",D2SW-,"W15,N36,S15,E14",,D4SW-,"S6,W10,N20,E22"
C3SW(center)- ,"S14,W13,N71,E11",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,25,2,5,53,15,100,
A2,0,15,0,5,50,30,100,
A3,0,10,4,5,36,45,100,
A4,0,20,3,5,52,20,100,
B1,0,15,3,5,57,20,100,
B2,0,20,2,5,48,25,100,
B3,0,10,2,5,30,53,100,
B4,0,15,2,5,53,25,100,
C1,0,20,3,5,52,20,100,
C2,0,20,2,5,53,20,100,
C3,0,15,2,5,58,20,100,
C4,0,10,2,5,65,18,100,
D1,0,25,3,5,52,15,100,
D2,0,15,2,5,63,15,100,
D3,0,15,2,3,60,20,100,
D4,0,5,3,2,75,15,100,
