Plot ID,   PPW1331,Date,20180702,,Samplers,"AC,MK,MO,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W5,N10,E19,S2",B4SW-,"W5,N7,E4,S4",D2SW-,"N42,E28,S20,W3",,D4SW-,"E15,S17,W4,N9"
C3SW(center)- ,"W2,N9,E34,S8",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,20,5,10,40,25,100,
A2,0,25,0,5,35,35,100,
A3,0,10,0,5,65,20,100,
A4,0,15,0,0,65,20,100,
B1,0,30,0,5,40,25,100,
B2,0,35,0,5,35,25,100,
B3,0,25,0,10,30,35,100,
B4,0,30,0,5,35,30,100,
C1,0,25,0,15,40,20,100,
C2,0,50,0,10,25,15,100,
C3,0,65,0,10,15,10,100,
C4,0,55,0,10,15,20,100,
D1,0,40,0,5,35,20,100,
D2,0,60,0,5,25,10,100,
D3,0,35,0,5,40,20,100,
D4,0,30,0,5,50,15,100,
