Plot ID,   PPW1345,Date,20180628,,Samplers,"MK, KO, MO, AC",,
Notes,B2 untagged QUEGAR and C2 untagged QUEDOU; 2 untagged HETARB SA by the cf bush,,,,,,,
Hobos downloaded? ,,Old Hobo:,Y,New Hobo:,Y,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W0,N12,E8,S3",B4SW-,"N14,E5,S0,W24",D2SW-,"S7,W11,N18,E11",,D4SW-,"S16,W5,N5,E27"
C3SW(center)- ,"S6,E21,N13,W6",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,20,0,0,40,40,100,
A2,0,25,0,0,40,35,100,
A3,0,50,0,3,27,20,100,
A4,0,45,0,5,30,20,100,
B1,0,30,0,0,30,40,100,
B2,0,25,0,0,40,35,100,
B3,0,37,0,3,30,30,100,
B4,0,25,0,5,45,25,100,
C1,0,35,0,5,40,20,100,
C2,0,25,0,0,45,30,100,
C3,0,40,0,5,45,10,100,
C4,0,40,0,5,50,10,105,
D1,0,50,0,0,35,15,100,
D2,0,25,0,5,60,10,100,
D3,0,20,0,10,65,5,100,
D4,0,35,0,5,40,20,100,
