Plot ID,   PPW1346,Date,20180706,,Samplers,"MK,KO,MO,AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,NA,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W42,N47,E34,S49",B4SW-,"W6,N20,E4,S16",D2SW-,"E16,N36,W68,S18",,D4SW-,"N38,W11,S30,E25"
C3SW(center)- ,"S38,E14,N24,W44",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,30,10,5,40,15,100,
A2,0,32,2,6,45,15,100,
A3,0,27,8,5,45,15,100,
A4,0,15,8,5,50,22,100,
B1,0,25,10,5,45,15,100,
B2,0,20,3,7,55,15,100,
B3,2,23,5,5,50,15,100,
B4,0,30,8,5,40,17,100,
C1,0,25,2,8,50,15,100,
C2,0,25,0,5,50,20,100,
C3,0,25,5,5,50,15,100,
C4,0,20,15,5,40,20,100,
D1,0,20,10,5,50,15,100,
D2,0,15,20,5,45,15,100,
D3,0,15,30,5,35,15,100,
D4,0,10,30,5,40,15,100,
