Plot ID,   PPW1348,Date,20180807,,Samplers,"MK, DK, MO, AK",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S8, E24, N14, W19",B4SW-,"S7, W14, N16, E31",D2SW-,"S6, E6, N33, W11",,D4SW-,"S12, E22, N27, W23"
C3SW(center)- ,"S11, E16, N14, W13",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,30,7,18,15,30,100,
A2,0,30,7,13,15,35,100,
A3,0,13,5,12,20,50,100,
A4,0,10,6,10,25,49,100,
B1,0,30,7,20,23,20,100,
B2,0,20,6,18,18,38,100,
B3,0,15,3,15,22,45,100,
B4,0,15,3,10,25,47,100,
C1,0,22,8,15,20,35,100,
C2,0,20,5,15,20,40,100,
C3,0,10,6,12,25,47,100,
C4,0,10,5,10,20,55,100,
D1,0,20,8,14,18,40,100,
D2,0,15,5,15,20,45,100,
D3,0,9,6,10,20,55,100,
D4,0,10,5,15,15,55,100,
, ,,,,,,,
