Plot ID,   PPW1852,Date,20180813,,Samplers,"MK, KI, MO, AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,4269686,UTM-E:,4269702,UTM-E:,4269692,,UTM-E:,4269674
UTM-N:,527365,UTM-N:,527378,UTM-N:,527392,,UTM-N:,527381
Pictures? (check if complete),,,Slope,22,,Aspect ,24,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W92,N81,E79,S72",B4SW-,"S74,W73,N89,E86",D2SW-,"S94,E90,W92,N92",,D4SW-,"S84,E84,N88,W85"
C3SW(center)- ,"S78,E88,N90,W88",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,55,1,17,20,7,100,
A2,0,60,3,22,10,5,100,
A3,0,55,2,20,18,5,100,
A4,0,50,1,20,25,4,100,
B1,0,30,3,22,35,10,100,
B2,0,60,2,18,10,10,100,
B3,0,57,2,18,18,5,100,
B4,0,60,0,15,20,5,100,
C1,0,25,4,15,46,10,100,
C2,0,55,2,18,15,10,100,
C3,0,55,2,18,15,10,100,
C4,0,50,2,20,18,10,100,
D1,0,15,35,5,35,10,100,
D2,0,28,20,15,30,7,100,
D3,0,50,2,18,20,10,100,
D4,0,50,3,20,17,10,100,
