Plot ID,   PPW1302,,,,Sampler(s),"MK,KO,MO,AC",,,Date ,20180731
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B2,QUELOB,1,,0,,0,,,,
B2,QUEAGR,0,,1,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
B3,QUEAGR,0,,2,,1,,,,
B3,QUELOB,0,,1,,0,,,,
B4,QUEAGR,6,,9,,1,,,,
B4,QUELOB,0,,4,,0,,,,
A2,QUELOB,0,,1,,0,,,,
A2,UMBCAL,0,,1,,0,,,,
A3,QUEAGR,5,,8,,0,,,,
A3,QUELOB,0,,2,,0,,,,
D1,QUEAGR,0,,3,,1,,,,
A3,UMBCAL,0,,1,,0,,,,
A4,QUEAGR,0,,2,,0,,,,
A4,UMBCAL,0,,1,,0,,,,
C2,UMBCAL,0,,1,,0,,,,
C2,QUEAGR,0,,3,,0,,,,
C3,QUEAGR,1,,8,,0,,,,
C4,QUEAGR,4,,3,,1,,,,
C4,QUELOB,0,,1,,0,,,,
D4,QUEAGR,3,,24,,10,,,,
D3,QUEAGR,2,,15,,4,,,,
