Plot ID,   PPW1308,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180625
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEDOU,0,,1,,0,,,,
A1,QUEGAR,18,,49,,0,,,,
A1,QUEKEL,3,,7,,0,,,,
A2,QUEDOU,2,,2,,0,,,,
A2,GUEGAR,7,,30,,0,,,,
A2,QUEKEL,1,,5,,1,,,,
A3,QUEGAR ,16,,5,,0,,,,
A3,QUEDOU,8,,4,,0,,,,
A4,QUEGAR ,12,,27,,0,,,,
A4,QUEDOU,1,,1,,0,,,,
A4,QUEKEL,3,,5,,0,,,,
B4,QUEGAR,2,,16,,0,,,,
B4,QUEKEL,1,,3,,0,,,,
B4,QUEDOU,3,,0,,0,,,,
B3,QUEGAR ,33,,18,,0,,,,
B3,QUEKEL,0,,1,,1,,,,
B3,QUEDOU,3,,2,,0,,,,
B2,QUEGAR ,39,,63,,0,,,,
B2,QUEDOU,3,,2,,0,,,,
B2,QUEKEL,3,,3,,0,,,,
B1,QUEGAR ,25,,69,,0,,,,
C1,QUEGAR ,34,,36,,0,,,,
C1,QUEKEL ,1,,0,,0,,,,
C1,QUEDOU,1,,0,,0,,,,
C2,QUEGAR ,30,,15,,0,,,,
C3,QUEGAR ,28,,50,,1,,,,
C3,QUEDOU,2,,3,,0,,,,
C4,QUEGAR,24,,35,,0,,,,
D4,QUEGAR,35,,36,,1,,,,
D4,QUEDOU ,0,,3,,0,,,,
D4,QUEKEL,0,,2,,0,,,,
D3,QUEGAR,41,,57,,0,,,,
D3,QUEAGR,0,,1,,0,,,,
D2,QUEGAR ,31,,45,,0,,,,
D2,QUEAGR,1,,0,,0,,,,
D1,QUEGAR ,9,,13,,2,,,,
