Plot ID,   PPW1313,,,,Sampler(s),"MO,MK,DA,KO",,,Date ,20180629
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEAGR,0,,2,,0,,,,
D4,ARBMEN,0,,1,,0,,,,
D3,QUEAGR,0,,1,,0,,,,
D3,ARBMEN,0,,2,,0,,,,
D2,QUEAGR,0,,2,,0,,,,
C1,QUEGAR,0,,2,,0,,,,
B1,ARBMEN,0,,1,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
A1,QUEAGR,1,,1,,0,,,,
A1,QUEKEL,0,,1,,0,,,,
A1,BACPIL,0,,1,,0,,,,
A2,QUEAGR,0,,1,,0,,,,
A3,QUEAGR,1,,1,,0,,,,
B3,QUEAGR,0,,4,,0,,,,
B3,HETARB,0,,6,,0,,,,
C3,QUEGAR,0,,1,,0,,,,
C4,HETARB,0,,1,,0,,,,
C4,QUEAGR,0,,1,,0,,,,
B4,QUEAGR,0,,2,,0,,,,
B4,QUEGAR,0,,1,,0,,,,
A4,HETARB,0,,1,,0,,,,
A4,QUEAGR,0,,2,,0,,,,
