Plot ID,   PPW1340,,,,Sampler(s),AC MO MK KO,,,Date ,20180720
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,BACPIL,0,,1,,0,,,,
C1,BACPIL,1,,1,,0,,,,
D2,ARCMAN,0,,1,,0,,,,
D2,BACPIL,0,,2,,0,,,,
C2,ARCMAN,0,,4,,0,,,,
C2,BACPIL,2,,2,,0,,,,
A2,UMBCAL,0,,1,,0,,,,
A2,ARBMEN,0,,1,,0,,,,
D3,ARCMAN,0,,1,,0,,,,
D3,BACPIL,1,,0,,0,,,,
C4,PSEMEN,0,,0,,2,,,,
C4,BACPIL,0,,1,,0,,,,
B1,ARBMEN,1,,1,,0,,,,
B1,ARCMAN,1,,0,,0,,,,
B2,ARBMEN,2,,4,,0,,,,
B2,ARCMAN,4,,2,,0,,,,
B4,PSEMEN,0,,0,,2,,,,
B4,ARBMEN,3,,0,,0,,,,
A4,ARBMEN,1,,0,,0,,,,
