Plot ID,   PPW1350,,,,Sampler(s),"AC,MO,DK,MK",,,Date ,20180809
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A3,ARBMEN,1,,0,,0,,,,
A2,UMBCAL,0,,1,,0,,,,
A1,FRACAL,0,,1,,0,,,,
A1,QUEAGR,0,,1,,0,,,,
A1,PSEMEN,1,,0,,0,,,,
B4,QUEAGR,0,,0,,1,,,,
B4,ARCMAN,1,,0,,0,,,,
B3,HETARB,3,,0,,0,,,,
B3,BACPIL,1,,0,,0,,,,
B3,UMBCAL,1,,0,,0,,,,
B2,HETARB,2,,0,,0,,,,
B2,QUEAGR,0,,1,,0,,,,
B1,AMOCAL,0,,2,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
B1,FRACAL,0,,1,,0,,,,
C1,AMOCAL,0,,5,,0,,,,
D3,AMOCAL,0,,12,,0,,,,
D4,HETARB,5,,0,,0,,,,
C3,QUEAGR,0,,1,,0,,,,
C3,HETARB,1,,0,,0,,,,
D2,FRACAL,1,,1,,0,,,,
D2,AMOCAL,2,,10,,0,,,,
D1,HETARB,0,,2,,0,,,,
D1,QUEAGR,0,,2,,0,,,,
