Plot ID,1302,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180731,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,1027,,,UMBCAL,0,1,0,0,0,,3.06,0,1.2,55.3,2,0,,OG DEAD
A1,SA,1028,,,UMBCAL,0,1,,,,,3.96,1,0.99,94.8,1,0,,OG DEAD
A1,SA,1024,,,UMBCAL,0,0,,,,,2.41,0,,,,0,,
A2,TR,1029,,,QUEAGR,1,0,1,1,4,,,,69.2,,,0,,
A2,TR,1029.1,,,QUEAGR,1,0,1,1,3,,,,52.9,,,0,,
A2,TR,1029.2,,,QUEAGR,1,0,1,1,3,,,,63,,,0,,
A4,TR,1039,,,QUELOB,1,0,0,1,4,,,,43.4,,,0,,
A4,SA,99267,,,QUEAGR,0,0,,,,,0.95,0,,,,0,,
A4,TR,1071,,,QUEAGR,1,1,1,1,2,,,,22.6,,0,0,,
A4,SA,1030,,,UMBCAL,0,1,,,,,1.51,1,NA,48.2,0,0,,
B4,SA,5987,136,331,QUEAGR,0,1,,,,,0.82,3,NA,35.9,0,0,,
B3,TR,1061,,,PSEMEN,1,0,0,1,3,,,,7.46,,,0,,
B2,TR,1082,,,PSEMEN,0,0,0,0,0,,,,5.23,,,0,,
B2,SA,5988,407,442,UMBCAL,0,1,,,,,0.8,2,,45.1,0,0,,OG DEAD
B2,SA,1051,,,UMBCAL,0,0,,,,,,,,,,1,,
B2,TR,1094,,,PSEMEN,0,0,0,0,0,,,,6.2,,,0,,
B2,SA,9998.99,,,BACPIL,0,1,,,,,2.7,2,,35,0,0,,OG DEAD/ CONFIRM TAG NUMBER IN 2019- DUP in DB-  Using 9998 as placeholder until incorrect handmade tag 1067 is removed (this is a bay in 1305)-mkqc2022
B1,SA,1013,,,UMBCAL,0,1,,,,,1.63,0,,72.5,1,0,,OG DEAD
B1,SA,1016,,,UMBCAL,0,1,,,,,1.98,1,,49.6,0,0,,OG DEAD
C1,SA,99268,,,UMBCAL,0,0,,,,,1.21,2,,,,0,,
C1,TR,1096,,,QUEAGR,1,0,1,1,4,,,,63.8,,,0,,
C1,TR,1096.2,,,QUEAGR,1,0,0,1,2,,,,58.6,,,0,,
C1,TR,1096.1,,,QUEAGR,1,0,1,1,2,,,,40.4,,,0,,
C1,SA,1073,,,UMBCAL,0,0,,,,,1.85,0,,,,0,,
C1,SA,1081,,,UMBCAL,0,1,,,,,1.88,1,,33,0,0,,OG DEAD
C1,SA,1092,,,UMBCAL,0,0,,,,,,,,,,1,,GONE
C2,SA,1019,,,UMBCAL,0,1,,,,,2.57,0,,67,1,0,,OG DEAD
C3,SA,99269,,,QUEAGR,0,0,,,,,0.71,0,,,,0,,
C3,SA,1023,,,QUEAGR,0,0,,,,,1.15,0,,,,0,,
C4,SA,1033,,,QUEAGR,0,0,,,,,1.83,0,,,,0,,
C3,SA,1031,,,QUEAGR,0,1,,,,,1.89,0,,29,0,0,,OG DEAD
C3,SA,1026,,,UMBCAL,0,1,,,,,1.38,0,,55.5,1,0,,
C3,TR,1097,,,QUEAGR,1,0,1,1,4,,,,100.1,,,0,,
C4,TR,1032,,,PSEMEN,1,0,1,1,4,,,,7.21,,,0,,
C4,SA,1025,,,QUEAGR,0,1,,,,,1.87,0,,40.8,0,0,,OG DEAD
C4,SA,1034,,,QUEAGR,0,0,,,,,NA,NA,,,,1,,GONE
C4,SA,5989,449,140,QUEAGR,0,1,,,,,0.87,0,,28.5,0,0,,OG DEAD
D1,SA,5990,365,486,QUEAGR,0,1,,,,,0.85,0,,41,0,0,,OG DEAD
D1,SA,1043,,,UMBCAL,0,1,,,,,1.6,0,,86.8,1,0,,OG DEAD
D1,SA,1045,,,UMBCAL,0,1,,,,,1.62,0,,43,0,0,,OG DEAD
D1,SA,1041,,,QUEAGR,0,1,,,,,1.29,0,,24.9,0,0,,OG DEAD
D1,SA,1042,,,QUEAGR,0,1,,,,,3,0,,97.1,1,0,,OG DEAD
D1,TR,1044,,,UMBCAL,0,1,0,0,0,,,,4.31,60.5,2,0,,
D1,TR,1044.1,,,UMBCAL,0,1,0,0,0,,,,3.7,78.1,1,0,,
D1,TR,1044.2,,,UMBCAL,0,1,0,0,0,,,,2.46,48.5,0,0,,
D1,TS,1044.3,,,UMBCAL,0,0,,,,,,,,,,1,,GONE
D1,SA,5991,385,301,UMBCAL,0,1,,,,,1.13,1,,34,0,0,,OG DEAD
D2,SA,1040,,,QUEAGR,0,1,,,,,2.39,0,,56.5,1,0,,OG DEAD
D2,SA,1038,,,QUEAGR,0,1,,,,,3.3,0,,51,1,0,,OG DEAD
D2,SA,1036,,,QUEAGR,0,1,,,,,3.84,0,,61.8,1,0,,OG DEAD
D2,SA,1037,,,UMBCAL,0,1,,,,,1.6,1,,51.2,1,0,,OG DEAD
D2,SA,99270,,,QUEAGR,0,0,,,,,0.62,0,,,,0,,
D2,SA,99271,,,QUEAGR,0,0,,,,,0.69,0,,,,0,,
D2,SA,99272,,,QUEAGR,0,0,,,,,0.91,0,,,,0,,
D2,SA,99273,,,QUEAGR,0,0,,,,,1.15,0,,,,0,,
D2,SA,99274,,,QUEAGR,0,0,,,,,1.05,0,,,,0,,
D2,SA,99275,,,QUEAGR,0,0,,,,,0.71,0,,,,0,,
D2,SA,99276,,,QUEAGR,0,0,,,,,1.25,0,,,,0,,
D2,SA,5992,345,21,QUEAGR,0,1,,,,,0.7,0,,18.1,0,0,,OG DEAD
D2,SA,99277,,,QUEAGR,0,0,,,,,0.84,0,,,,0,,
D2,SA,5993,457,121,QUEAGR,0,1,,,,,1.7,0,,66.5,1,0,,OG DEAD
D2,SA,99278,,,QUEAGR,0,0,,,,,1.48,0,,,,0,,
D2,SA,99279,,,QUEAGR,0,0,,,,,0.93,0,,,,0,,
D2,SA,99280,,,QUEAGR,0,0,,,,,0.7,0,,,,0,,
D2,SA,5994,304,396,QUEAGR,0,1,,,,,1.29,0,,55.5,1,0,,OG DEAD
C4,SA,5960,11,185,QUEAGR,0,1,,,,,0.56,0,,30.5,0,0,,OG DEAD
D3,SA,99281,,,QUEAGR,0,0,,,,,1,0,,,,0,,
