Plot ID,1303,,Sampler(s),"MK, MO, KO, AC",,,,,Date ,20180723,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D4,SA,4084,,,QUEAGR,0,1,,,,0,1.86,1,,21.6,0,0,
D4,SA,5831,383,185,QUEAGR,0,1,,,,0,0.8,1,,22.1,0,0,
D4,SA,5864,383,145,UMBCAL,0,1,,,,0,0.6,1,,17.2,0,0,
D4,SA,4047,,,QUEAGR,0,1,,,,0,1.77,1,,47.6,0,0,
D3,SA,999.1,,,UNK,0,0,,,,0,0.39,2,,0,0,0,
D2,SA,4049,,,QUEAGR,0,1,,,,0,1.28,4,,75.7,2,0,
D1,SA,5832,312,165,QUEAGR,0,1,,,,0,0.77,0,,39,0,0,BD @ 7cm
C2,SA,4043,,,QUEAGR,0,1,,,,0,1.8,1,,56.4,1,0,
C3,SA,4044,,,QUEAGR,0,1,,,,0,1.06,3,,29,0,0,
C4,TR,4046,,,QUEAGR,1,1,1,1,3,,,,65.1,60,1,0,
C4,SA,4045,,,PSEMEN,0,0,,,,0,0,0,,0,0,0,"gone, not found"
A4,SA,4042,,,QUEDOU,0,0,,,,0,1.09,2,,0,0,0,
A4,TR,4041,,,QUEDOU,1,0,1,1,3,,,,25,72.4,20,0,
A2,TR,4040,,,QUEAGR,1,1,1,1,3,,,,37.2,0,0,0,
A4,SA,5833,48,117,QUEAGR,0,1,,,,0,0.64,3,,28.6,0,0,
B3,SA,5834,200,183,QUEAGR,0,1,,,,0,1,4,,37.5,0,0,
B3,SA,999.2,,,PSEMEN,0,0,,,,0,0.38,0,,0,0,0,
B3,SA,999.3,,,PSEMEN,0,0,,,,0,0.31,0,,0,0,0,
B3,SA,999.4,,,PSEMEN,0,0,,,,0,0.47,0,,0,0,0,
B4,SA,999.5,,,PSEMEN,0,0,,,,0,0.43,0,,0,0,0,
B2,SA,5863,60,500,QUEAGR,0,0,,,,0,0.48,0,,23,0,0,
