Plot ID,1307,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180719,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D3,TR,1169,,,PSEMEN,1,0,0,1,2,,,,30.1,,,0,
D3,TR,1168,,,QUEAGR,1,0,1,1,3,,,,40.4,,,0,
D3,SA,5810,135,414,UMBCAL,0,1,,,,,0.9,0,,21.8,0,0,BD @ .8CM
D3,SA,5811,180,409,UMBCAL,0,1,,,,,,,,30.8,0,0,
D3,SA,1171,,,UMBCAL,0,1,,,,,2.93,0,,45.1,0,0,
D4,SA,1155,,,UMBCAL,0,1,,,,,1.42,0,,36,0,0,
D4,SA,1157,,,ARBMEN,0,0,,,,,1.89,0,,,,0,
D4,SA,999.1,,,ARBMEN,0,0,,,,,1.53,0,,,,0,
D4,SA,1167,,,UMBCAL,0,1,,,,,1.72,0,,91.7,1,0,
D4,SA,5806,98,365,ARBMEN,0,1,,,,,1.07,0,,30.5,0,0,
D4,SA,5807,5,292,ARBMEN,0,1,,,,,1.23,0,,39.3,0,0,
C4,SA,999.2,,,ARBMEN,0,0,,,,,1.4,0,,,,0,
D4,SA,5808,187,48,UMBCAL,0,1,,,,,0.98,0,,,,0,
D4,SA,999.3,,,ARBMEN,0,0,,,,,0.72,0,,,,0,
D3,SA,5809,375,495,UMBCAL,0,1,,,,,1.29,0,,,,0,
C3,SA,5812,25,185,QUEAGR,0,1,,,,,0.66,0,,,,0,
D2,TR,1173,,,PSEMEN,1,0,0,1,2,,,,29.3,,,0,
D3,SA,1172,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE TAG NOT FOUND
D1,TR,1176,,,QUEAGR,0,1,0,0,0,,,,2.21,,0,0,
D1,TR,1175,,,QUEAGR,0,1,0,0,0,,,,5.68,,0,0,
D1,TR,1200,,,QUEAGR,0,1,0,0,0,,,,11.2,,0,0,
D1,TR,1178,,,UMBCAL,0,1,0,0,0,,,,2.99,,0,0,
D1,TR,1179,,,UMBCAL,0,0,0,0,0,,,,7.53,,,0,
D1,TR,1179.1,,,UMBCAL,0,0,0,0,0,,,,6.65,,,0,
D1,SA,1177,,,QUEAGR,0,0,,,,,,,,,,0,DEAD/GONE TAG NOT FOUND
C1,TR,1162,,,QUEAGR,0,0,0,0,0,,,,,,,1,DEAD/GONE
C1,TR,1134,,,QUEAGR,0,1,0,0,0,,,,,44.5,0,0,DEAD/GONE
B1,SA,1145,,,QUEAGR,0,0,,,,,1.67,0,,,,0,
C1,TR,1160,,,QUEAGR,0,1,0,0,,,,,1.15,,0,0,
C1,TR,1159,,,QUEAGR,0,1,0,0,,,,,11.3,63.3,1,0,
C1,TR,1159.1,,,QUEAGR,0,0,0,0,,,,,4.47,,,0,
C1,TR,1158,,,QUEAGR,0,0,0,0,,,,,8.41,,,0,
C1,SA,1161,,,QUEAGR,0,0,,,,,2.13,0,,,,0,
C1,TR,1163,,,QUEAGR,0,0,0,0,,,,,,,,0,DEAD/GONE TAG NOT FOUND
C1,SA,1153,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE TAG NOT FOUND
C1,SA,1137,,,ARBMEN,0,0,,,,,,,,,,0,DEAD/GONE TAG NOT FOUND
C2,SA,5813,25,20,QUEAGR,0,1,,,,,0.94,0,,30.1,0,0,
C2,SA,999.4,,,ARCMAN,0,0,,,,,0.64,3,,,,0,
C2,TR,1140,,,ARCMAN,0,0,0,0,0,,3.26,0,1.09,,,0,
C2,TR,1164,,,QUEAGR,0,1,0,0,0,,,,,,0,0,
C2,SA,1139,,,QUEAGR,0,0,,,,,,,,,,1,DEAD/GONE
C2,SA,1133,,,QUEAGR,0,0,,,,,,,,,,0,DEAD/GONE TAG NOT FOUND
C2,SA,1152,,,UMBCAL,0,1,,,,,1.53,0,,65.5,1,0,
C3,SA,5814,410,385,UMBCAL,0,1,,,,,1.23,0,,31.9,0,0,
C3,SA,999.5,,,QUEAGR,0,0,,,,,0.69,0,,,,0,
C4,TR,1166,,,QUEAGR,1,0,1,1,4,,,,41.5,,,0,
C4,SA,5815,345,400,ARBMEN,0,1,,,,,1.23,0,,16.1,0,0,
C4,SA,999.6,,,ARBMEN,0,0,,,,,0.94,0,,,,0,
C4,SA,5816,377,108,UMBCAL,0,1,,,,,1.54,0,,28.2,0,0,
C4,SA,5817,216,20,UMBCAL,0,1,,,,,0.84,0,,22.6,0,0,
B4,TR,1126,,,QUEKEL,1,0,1,1,1,,,,22.4,,,0,CHANGED FROM TYPO QUEAGRI- SAYS KEL ON SCAN AND IN 2013- MKQC2022
B4,SA,5818,110,180,ARBMEN,0,1,,,,,1.26,0,,37,0,0,
A4,SA,5819,472,98,ARBMEN,0,1,,,,,1.78,0,,28.5,0,0,
B2,SA,1128,,,QUEAGR,0,1,,,,,1.46,0,,49.8,0,0,
B2,SA,1130,,,QUEAGR,0,1,,,,,1.44,0,,55.2,1,0,
B2,SA,1129,,,UMBCAL,0,0,,,,,2.01,0,,,,0,
B2,TR,1131,,,ARBMEN,1,1,1,1,2,,,,33.7,102.8,7,0,
B2,TS,1131.1,,,ARBMEN,0,0,,,,,,,,,,0,DEAD/GONE
B2,TS,1131.2,,,ARBMEN,0,0,,,,,,,,,,0,DEAD/GONE
B2,TR,1132,,,QUEAGR,0,0,0,0,0,,,,3.48,,,0,
B2,TR,1132.1,,,QUEAGR,0,0,0,0,0,,,,2.81,,,0,
B1,SA,1147,,,QUEAGR,0,1,,,,,3.53,0,,58.9,2,0,
B1,TR,1154,,,QUEAGR,0,1,0,0,0,,,,2.03,87.1,5,0,
B1,TR,1143,,,ARBMEN,0,1,0,0,0,,,,2.34,54.6,1,0,
B1,TS,1143.1,,,ARBMEN,0,0,0,0,0,,,,,,,1,DEAD/GONE
B1,SA,1156,,,QUEAGR,0,0,,,,,1.33,0,,,,0,
B1,SA,1142,,,QUEAGR,0,0,,,,,3.41,0,,,,0,
B1,SA,1142.1,,,QUEAGR,0,0,,,,,,,,,,1,DEAD/GONE
B1,TR,1165,,,QUEAGR,0,1,0,0,0,,,,1.3,,0,0,
B1,TR,1165.1,,,QUEAGR,0,0,0,0,0,,,,1.71,,,0,
