Plot ID,1313,,Sampler(s),"M0,MK,KO,DA",,,,,Date ,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,SA,1764,,,ARBMEN,0,0,,,,,0.78,0,,,,0,,
D4,SA,1763,,,ARBMEN,0,1,,,,,0.97,0,,13,0,0,,
D4,SA,5609,340,140,ARBMEN,0,1,,,,,0.94,0,,28,0,0,,
D4,TR,1752,,,QUEKEL,0,0,0,0,0,,,,18.7,,,0,,Trunk burned at breast height
C4,TR,1753,,,ARBMEN,1,1,0,1,4,,,,21.4,52,0,0,,
D4,SA,1771,,,HETARB,0,0,,,,,2.23,0,,80,4,0,,
D4,SA,1772,,,ARBMEN,0,0,,,,,1.04,0,,,,0,,
D4,TS,1767,,,ARBMEN,0,1,,,,,0.9,0,,31,0,0,,
D3,TR,1765,,,ARBMEN,1,0,0,1,4,,,,13.8,,,0,,
D3,TR,1765.1,,,ARBMEN,1,0,0,1,3,,,,5.5,,,0,,
D3,SA,1774,,,HETARB,0,1,,,,,1.73,0,,48,0,0,,
D3,SA,1750,,,ARBMEN,0,1,,,,,1.4,0,,21,0,0,,
D3,SA,1773,,,ARBMEN,0,0,,,,,0.8,0,,,,0,,
D3,TR,1775,,,ARBMEN,0,1,0,0,0,,,,1.8,68,1,0,,
D3,TR,1766,,,QUEKEL,1,0,0,1,4,,,,32.7,,,0,,
D2,SA,5610,230,210,HETARB,0,0,,,,,0.9,0,,,,0,,"NewSA, dead"
D2,SA,1758,,,HETARB,0,0,,,,,0.8,0,,,,0,,
D1,TR,1768,,,QUEAGR,1,1,1,1,3,,,,15.9,62,1,0,,Powdery mildew
C1,TR,1757,,,ARBMEN,0,0,0,0,0,,,,0,,,0,,"dead,gone"
C1,TR,1757.1,,,ARBMEN,0,0,0,0,0,,,,0,,,0,,"dead, gone"
C1,TR,1756,,,HETARB,0,1,0,0,0,,,,1.6,92,6,0,,
C1,TS,1756.1,,,HETARB,0,0,,,,,1.6,0,,,,0,,
C1,TS,1756.2,,,HETARB,0,0,,,,,2.4,0,,,,0,,
C1,TS,1756.3,,,HETARB,0,0,,,,,1.8,0,,,,0,,
C1,TS,1756.4,,,HETARB,0,0,,,,,1.5,0,,,,0,,
C1,TS,1756.5,,,HETARB,0,0,,,,,,,,,,0,,"dead, not found"
C1,TS,1756.6,,,HETARB,0,0,,,,,,,,,,0,,"dead, not found"
C1,SA,1755,,,HETARB,0,0,,,,,1.4,0,,,,0,,
D1,SA,1776,,,UMBCAL,0,1,,,,,1.2,0,,49,0,0,,
B1,TR,1745,,,QUEKEL,1,1,1,0,2,,,,9.4,111.5,5,0,,
B1,TR,1754,,,HETARB,0,1,0,0,0,,,,2.1,42,2,0,,ESTIMATED DBH HEIGHT
A1,TR,1719,,,ARBMEN,0,0,0,0,0,,,,0,,,0,,GONE
