Plot ID,1325,,Sampler(s),AC MO KO MK,,,,,Date ,20180717,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3940,,,QUEDOU,1,0,1,1,3,,,,51.9,,,0,,DBH NOT AT BREAST HEIGHT
A1,TR,3941,,,QUEDOU,1,0,0,1,3,,,,24.6,,,0,,
B2,TR,4006,,,QUEDOU,1,0,1,1,3,,,,17.7,,,0,,
A2,TR,3942,,,QUEAGR,1,0,0,1,3,,,,26.1,,,0,,
A2,TR,3942.1,,,QUEAGR,1,0,0,1,4,,,,21.2,,,0,,
A2,TR,3943,,,QUEDOU,1,0,1,1,3,,,,10.5,,,0,,
A2,TR,3950,,,ARCMAN,0,0,0,0,0,,,,13.4,,,0,,
A3,TR,3951,,,ARCMAN,0,0,0,0,0,,,,14.1,,,0,,
A3,TR,3951.1,,,ARCMAN,1,0,0,1,2,,,,13.4,,,0,,
A4,TR,3952,,,QUEDOU,1,0,0,1,3,,,,27.1,,,0,,
A4,TR,3952.1,,,QUEDOU,1,0,0,1,4,,,,28.5,,,0,,
A4,TR,4001,,,QUEDOU,1,0,0,1,3,,,,18.6,,,0,,
B4,TR,4002,,,QUEGAR,1,1,0,1,4,,,,19.3,,,0,,
C4,TR,4010,,,QUEDOU,1,0,1,1,4,,,,40.8,,,0,,QUEDOU NOT QUEGAR
B3,TR,4003,,,ARCMAN,1,0,0,1,1,,,,16.3,,,0,,
B3,TR,4003.1,,,ARCMAN,1,0,0,1,2,,,,11.7,,,0,,
B3,TR,4004,,,ARCMAN,0,0,0,0,0,,,,12.5,,,0,,
B3,TR,4005,,,ARCMAN,0,0,0,0,0,,,,10,,,0,,
C2,TR,4008,,,QUEDOU,1,0,1,1,4,,,,42.8,,,0,,
C2,TR,4007,,,QUEDOU,1,0,1,1,3,,,,26.6,,,0,,
C2,TR,4009,,,QUEGAR,1,0,1,1,3,,,,16.6,,,0,,
C2,TR,4009.1,,,QUEGAR,1,0,1,1,2,,,,11.5,,,0,,
D3,TR,4011,,,QUEDOU,1,0,1,1,4,,,,24.4,,,0,,
D2,TR,4012,,,QUEDOU,1,0,0,1,4,,,,28.8,,,0,,
D1,TR,4013,,,QUEDOU,1,0,0,1,4,,,,21.7,,,0,,
D1,TR,4014,,,QUEGAR,1,0,1,1,5,,,,35.1,,,0,,
B1,SA,99327,,,ARBMEN,0,0,,,,,0.57,,,,,,,BURNED
