Plot ID,1326,,Sampler(s),"AC, MK, MO, KO",,,,,Date ,20180709,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,3397,,,PSEMEN,1,0,0,1,3,,,,17.1,,,0,
A1,TR,3400,,,PSEMEN,1,0,0,1,3,,,,13.2,,,0,
A1,TR,3543,,,UMBCAL,0,1,0,0,0,,,,1.06,31.5,0,0,
A1,SA,3511,,,UMBCAL,0,0,,,,,1.84,0,,,,0,
A1,TR,3505,,,PSEMEN,0,0,0,0,0,,,,2.8,,,0,
A1,SA,3506,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A1,SA,3503,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A1,TR,3512,,,PSEMEN,1,0,0,1,2,,,,15,,,0,
A1,SA,3508,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A1,SA,3509,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A1,TR,3514,,,PSEMEN,0,0,0,0,0,,,,2.6,,,0,
A1,TR,3504,,,UMBCAL,0,0,0,0,0,,,,3.2,,,0,
A1,SA,3502,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A1,SA,3501,,,UMBCAL,0,0,,,,,1.58,0,,,,0,
B1,TR,3586,,,PSEMEN,0,0,0,0,0,,,,4.3,,,0,
B1,SA,3580,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B1,SA,3581,,,UMBCAL,0,0,,,,,1.07,0,,,,0,
B1,SA,3582,,,UMBCAL,0,0,,,,,1.85,0,,,,1,dead/gone
A1,SA,999.1,373,474,UMBCAL,0,0,,,,,0.97,0,,,,0,
A1,SA,3513,,,UMBCAL,1,0,,,,113.2,0.88,2,,,,0,SOD
A1,SA,3507,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A1,SA,3510,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A2,SA,3518,,,UMBCAL,0,0,,,,,0.9,0,,,,0,
A2,SA,3520,,,UMBCAL,0,1,,,,,1.28,0,,49.9,0,0,OG dead
A2,SA,5641,10,340,UMBCAL,1,0,,,,54.6,1.02,3,,,,0,SOD
A2,SA,3519,,,UMBCAL,1,0,,,,119.4,1.88,0,,,,0,SOD
A2,SA,5642,210,410,UMBCAL,1,1,,,,,1.27,0,,39.6,0,0,"All OG dead, BD at 4 cm"
A2,SA,3516,,,UMBCAL,1,0,,,,107.6,1.18,0,,,,0,SOD
A2,TR,999.2,,,PSEMEN,0,0,0,0,0,,,,1.01,,,0,
A2,TR,3522,,,PSEMEN,1,0,0,1,2,,,,15.7,,,0,
A2,TR,3515,,,PSEMEN,1,0,0,1,2,,,,1.7,,,0,
A2,TR,999.3,,,PSEMEN,0,0,0,0,0,,,,1.04,,,0,
A2,SA,5644,90,180,UMBCAL,1,0,,,,82.7,0.79,0,,,,0,SOD
A2,SA,5649,105,200,UMBCAL,1,0,,,,71.2,0.44,0,,,,0,SOD
A2,SA,5650,135,170,UMBCAL,1,0,,,,71,0.59,1,,,,0,SOD
A2,SA,5651,155,215,UMBCAL,1,0,,,,64.1,0.53,1,,,,0,SOD
A2,SA,3521,,,UMBCAL,0,0,,,,,1.04,0,,,,0,
A2,SA,3517,,,UMBCAL,0,0,,,,,,,,,,1,Dead and gone
A2,SA,999.4,303,0,UMBCAL,0,0,,,,,0.61,0,,,,0,
B2,SA,3566,,,UMBCAL,0,0,,,,,,,,,,1,Dead and gone
B2,TR,3573,,,PSEMEN,0,0,0,0,0,,,,6.1,,,0,
B2,TR,3574,,,PSEMEN,0,0,0,0,0,,,,7.8,,,0,
B2,TR,3572,,,PSEMEN,0,0,0,0,0,,,,6.8,,,0,
B2,TR,3605,,,PSEMEN,1,0,0,1,2,,,,24.3,,,0,New tag
B2,SA,3564,,,UMBCAL,1,1,,,,,0.71,1,,36.1,0,0,Og dead
B2,SA,3565,,,UMBCAL,0,0,,,,,,,,,,1,Dead and gone
B2,SA,3567,,,UMBCAL,0,0,,,,,0.97,0,,,,1,
B2,SA,3571,,,UMBCAL,1,1,,,,,1.68,0,,62.8,1,0,Og dead
B2,SA,3568,,,UMBCAL,1,1,,,,,0.85,0,,54.5,1,0,Og dead
B2,SA,3561,,,UMBCAL,0,0,,,,,,,,,,1,Dead/gone
B2,SA,3562,,,UMBCAL,0,0,,,,,,,,,,1,Dead/gone
B2,SA,3563,,,UMBCAL,0,0,,,,,0.83,0,,,,1,BD at 8 cm
B2,SA,5652,195,400,UMBCAL,1,1,,,,,0.92,0,,29.2,0,0,"Og dead, BD at 4 cm"
B2,SA,3569,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B2,SA,3570,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
D1,TR,3405,,,UMBCAL,0,1,0,0,0,,2.1,0,1.34,59.2,3,0,Og dead
D1,SA,3402,,,UMBCAL,0,0,,,,,1.1,0,,,,0,
D1,SA,3404,,,UMBCAL,0,0,,,,,,,,,,0,gone
D1,TR,3407,,,PSEMEN,0,0,0,0,0,,,,5.5,,,0,deleted a second row labeled 3470- mkqc2022
D1,TR,3406,,,PSEMEN,0,0,0,0,0,,,,7.74,,,0,
D1,TR,3652,,,UMBCAL,0,1,0,0,0,,,,1.12,57.7,3,0,og dead
D1,SA,3663,,,UMBCAL,0,0,,,,,0.72,0,,,,0,
D1,SA,3661,,,UMBCAL,0,0,,,,,,,,,,0,gone
D1,TR,3700,,,PSEMEN,0,0,0,0,0,,,,3,,,0,
D1,TR,3401,,,UMBCAL,0,0,0,0,0,,,,1.31,,,0,
D2,SA,3689,,,UMBCAL,0,0,,,,,,,,,,0,gone
C1,SA,3408,430,290,UMBCAL,0,0,,,,,1.49,0,,,,0,quad change
D1,SA,3403,,,UMBCAL,0,0,,,,,,,,,,0,gone
D1,SA,3662,,,UMBCAL,0,0,,,,,,,,,,0,"gone, tag not found"
D2,SA,3690,,,UMBCAL,0,1,,,,,1.46,0,,81.4,2,0,og dead
D2,TR,3697,,,PSEMEN,1,0,0,1,2,,,,20.7,,,0,
D2,SA,3685,,,UMBCAL,0,0,,,,,1.1,0,,,,0,
