Plot ID,1328,,Sampler(s),"MO, KO, MK, AC",,,,,Date ,20180724,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
C1,TR,4877,,,QUEAGR,0,0,0,0,0,,,,4.02,,,0,
C1,TR,4877.1,,,QUEAGR,0,0,0,0,0,,,,2.95,,,0,
C1,TR,4879,,,PSEMEN,0,0,0,0,0,,,,1.15,,,0,
C1,TR,4878,,,PSEMEN,0,0,0,0,0,,,,2.69,,,0,
C1,SA,999.1,,,PSEMEN,0,0,,,,,0.45,0,,,,0,
C1,SA,999.2,,,PSEMEN,0,0,,,,,0.5,0,,,,0,
C1,SA,999.3,,,PSEMEN,0,0,,,,,0.47,0,,,,0,
C1,SA,999.4,,,PSEMEN,0,0,,,,,0.45,0,,,,0,
C1,SA,999.5,,,PSEMEN,0,0,,,,,0.57,0,,,,0,
C1,SA,999.6,,,PSEMEN,0,0,,,,,0.41,0,,,,0,
C1,SA,999.7,,,PSEMEN,0,0,,,,,0.42,0,,,,0,
C1,SA,999.8,,,PSEMEN,0,0,,,,,0.38,0,,,,0,
C2,SA,4880,,,ARBMEN,0,0,,,,,0.78,0,,,,0,
C2,SA,999.9,,,PSEMEN,0,0,,,,,0.64,0,,,,0,
C2,SA,4881,,,PSEMEN,0,0,,,,,0.67,0,,,,0,
C2,SA,999.11,,,PSEMEN,0,0,,,,,0.69,0,,,,0,
C2,SA,4882,,,PSEMEN,0,0,,,,,1.09,0,,,,0,
C2,SA,4887,,,PSEMEN,0,0,,,,,0.81,0,,,,0,
C2,SA,4885,,,PSEMEN,0,0,,,,,0.89,0,,,,0,
C2,SA,4884,,,PSEMEN,0,0,,,,,0.69,0,,,,0,
C2,SA,4883,,,PSEMEN,0,0,,,,,0.76,0,,,,0,
C2,SA,4886,,,PSEMEN,0,0,,,,,0.93,0,,,,0,
C2,SA,999.12,,,PSEMEN,0,0,,,,,0.5,0,,,,0,
C2,SA,999.13,,,PSEMEN,0,0,,,,,0.29,0,,,,0,
C2,SA,4888,,,PSEMEN,0,0,,,,,1.07,0,,,,0,
C2,SA,999.14,,,PSEMEN,0,0,,,,,0.45,0,,,,0,
C2,SA,999.15,,,PSEMEN,0,0,,,,,0.44,0,,,,0,
C2,SA,4889,,,PSEMEN,0,0,,,,,0.67,0,,,,0,
C2,TR,4892,,,QUEAGR,1,1,1,1,2,,,,27.6,,0,0,
C2,TR,4890,,,QUEAGR,0,1,0,0,0,,,,14.4,,0,0,
C2,SA,4899,,,PSEMEN,0,0,,,,,1,0,,,,0,
C2,SA,999.16,,,PSEMEN,0,0,,,,,0.47,0,,,,0,
C3,SA,4906,,,PSEMEN,0,0,,,,,0.87,0,,,,0,
C2,SA,4898,,,UMBCAL,0,1,,,,,2.76,0,,98.4,5,0,OG dead
C2,TR,4891,,,QUEAGR,1,1,1,1,3,,,,14.3,,0,0,
C2,SA,5898,75,155,PSEMEN,1,0,,,,61.8,0.68,0,,,,0,
C2,SA,5900,117,173,PSEMEN,1,0,,,,72.6,0.63,0,,,,0,
C3,SA,5879,300,25,PSEMEN,1,0,,,,71,0.6,0,,,,0,
C3,SA,4905,,,PSEMEN,0,0,,,,,1.02,0,,,,0,
C3,SA,999.17,,,UMBCAL,0,0,,,,,0.92,0,,,,0,
C3,SA,4904,,,PSEMEN,0,0,,,,,1.21,0,,,,0,
C3,SA,999.18,,,PSEMEN,0,0,,,,,0.76,0,,,,0,
C3,SA,4915,,,UMBCAL,0,1,,,,,0.6,0,,44.2,0,0,
C3,SA,999.73,,,UMBCAL,0,0,,,,,0.44,0,,,,0,"Recorded as 999.18, but that number had already been assigned. Changed to 999.73 (on data sheet too)."
C3,SA,4903,,,PSEMEN,0,0,,,,,0.75,0,,,,0,
C3,SA,4902,,,PSEMEN,0,0,,,,,1.69,0,,,,0,
C3,SA,999.19,,,PSEMEN,0,0,,,,,0.67,0,,,,0,
C3,SA,4916,,,FRACAL,0,0,,,,,,,,,,0,
C3,TR,4910,,,FRACAL,0,0,0,0,0,,,,,,,0,dead/gone
C3,TR,4910.1,,,FRACAL,0,0,0,0,0,,,,,,,0,dead/gone
C3,TR,4910.2,,,FRACAL,0,0,0,0,0,,,,,,,0,dead/gone
C3,TR,4910.3,,,FRACAL,0,0,0,0,0,,,,1.7,,,0,
C3,TR,4910.4,,,FRACAL,0,0,0,0,0,,,,,,,0,dead/gone
C3,TR,4910.5,,,FRACAL,0,0,0,0,0,,,,,,,0,dead/gone
C3,TR,4910.6,,,FRACAL,0,0,0,0,0,,,,,,,0,dead/gone
C3,SA,4900,,,PSEMEN,0,0,,,,,1.62,0,,,,0,
C3,SA,4893,,,PSEMEN,0,0,,,,,1.15,0,,,,0,
C3,SA,4896,,,PSEMEN,0,0,,,,,1.02,0,,,,0,
C3,SA,4894,,,UMBCAL,0,1,,,,,1.12,0,,60,1,0,og dead
C3,TR,4901,,,UMBCAL,0,1,0,0,0,,2.6,0,1.29,80.3,5,0,now a TR/dead
C3,SA,4895,,,FRACAL,0,1,,,,,0.33,0,,47.6,0,0,og dead
C3,SA,4897,,,PSEMEN,0,0,,,,,1.37,0,,,,0,
D3,SA,4991,,,PSEMEN,0,0,,,,,0.88,0,,,,0,
C3,SA,4908,,,PSEMEN,0,0,,,,,0.52,0,,,,0,
C3,SA,4907,,,PSEMEN,0,0,,,,,0.9,0,,,,0,
C3,SA,999.21,,,PSEMEN,0,0,,,,,0.52,0,,,,0,
C3,SA,999.22,,,PSEMEN,0,0,,,,,0.42,0,,,,0,
C3,SA,999.23,,,PSEMEN,0,0,,,,,0.5,0,,,,0,
C3,SA,999.24,,,PSEMEN,0,0,,,,,0.62,0,,,,0,
C3,SA,5880,368,440,FRACAL,0,1,,,,,0.62,0,,32.4,0,0,og dead
C4,TR,4955,,,FRACAL,0,1,0,0,0,,,,1.4,79.7,8,0,
C4,SA,4955.1,,,FRACAL,0,0,,,,,1.2,0,,,,0,
C4,SA,4958,,,FRACAL,0,0,,,,,,,,,,1,dead/gone
C4,SA,4957,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
C4,SA,4924,,,PSEMEN,0,0,,,,,0.84,0,,,,0,
