SORT,Plot ID,1330,,Sampler(s),"MO, MK, AC, KO",,,,,Date ,20180711,,,,,,,,
1,Notes,the individuals without species names are not listed in the 2013 data but there was a physical tag in the field around a dead and gone individual and we removed the tag…who were they?!?,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
3,Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
4,A1,SA,3447,,,UMBCAL,0,1,,,,,1.64,0,,84.5,3,0,OG DEAD
5,A1,TR,3414,,,PSEMEN,0,0,0,0,0,,,,4.49,,,0,
6,A1,TR,3454,,,QUEGAR,1,0,0,1,3,,,,32.3,,,0,
7,A1,SA,3453,,,UMBCAL,0,1,,,,,0.95,0,,45,0,0,OG DEAD
8,A1,TR,3455,,,PSEMEN,0,0,0,0,0,,,,5.41,,,0,
9,A1,SA,3421,,,UMBCAL,0,1,,,,,1.25,0,,61.6,2,0,OG DEAD
10,A1,SA,3412,,,UMBCAL,0,1,,,,,1.39,0,,100.5,2,0,OG DEAD
11,A1,TR,3419,,,UMBCAL,0,1,0,0,0,,2.23,0,1.42,79.2,6,0,"WAS SA NOW TR, OG DEAD"
12,A1,TR,3418,,,UMBCAL,0,1,0,0,0,,2.3,0,1.49,98.6,3,0,"WAS SA NOW TR, OG DEAD"
13,A1,TR,3459,,,UMBCAL,0,1,0,0,0,,,,1.84,145,8,0,OG DEAD
14,A1,TR,3459.1,,,UMBCAL,0,1,0,0,0,,,,1.91,119.8,4,0,OG DEAD
15,A1,SA,3475,,,UMBCAL,0,1,,,,,,,,25.3,0,0,"OG DEAD, BD UNAVAILABLE"
16,A1,SA,3424,,,UMBCAL,0,0,,,,,,,,,,1,GONE
17,A1,SA,3423,,,FRACAL,0,0,,,,,0.63,0,,,,1,
18,A1,SA,5700,333,413,UMBCAL,0,1,,,,,0.52,0,,23.1,0,0,OG DEAD
19,A1,SA,3727,,,QUEAGR,0,1,,,,,,,,14.8,0,0,"OG DEAD, BD UNAVAILABLE"
20,A1,SA,3469,,,UMBCAL,0,1,,,,,1.91,0,,38.5,0,0,OG DEAD
21,A1,SA,3458,,,UMBCAL,0,0,,,,,1.95,0,,,,0,
22,A1,SA,3464,,,HETARB,0,0,,,,,,,,,,1,GONE (was misentered as 3484-mkqc2022)
23,A1,SA,3461,,,UMBCAL,0,1,,,,,1.33,0,,37.6,0,0,OG DEAD
24,A1,SA,3462,,,UMBCAL,0,1,,,,,0.85,0,,63,1,0,"OG DEAD- averaged two dups. One with .84 bd and ht62, oither with .86 bd and ht 64- mkqc2022"
25,A1,SA,3413,,,QUEAGR,0,1,,,,,0.92,0,,30.6,0,0,OG DEAD
26,A1,SA,3416,,,AMOCAL,1,1,,,,,1.17,0,,91.9,1,0,
27,A1,TR,3415,,,AMOCAL,0,1,0,0,0,,,,,76.3,4,0,"OG DEAD, DBH UNAVAILABLE"
28,A1,TR,3415.1,,,AMOCAL,0,0,0,0,0,,,,,,,1,GONE
29,A1,TS,3415.2,,,AMOCAL,0,0,,,,,,,,,,1,GONE
30,A1,SA,3446,,,UNKN30,0,0,,,,,,,,,,1,GONE
31,A1,SA,3422,,,AMOCAL,0,0,,,,,,,,,,1,GONE
32,C4,TR,3920,,,PSEMEN,1,0,0,1,3,,,,14.2,,,0,
33,C4,SA,3919,,,UMBCAL,0,1,,,,,,,,64.9,1,0,GONE
34,C4,SA,3921,,,UMBCAL,0,1,,,,,0.81,1,,35.5,0,0,OG DEAD
35,C4,TR,3931,,,UMBCAL,1,1,0,1,3,,,,5.7,118.6,12,0,SOD
36,C4,SA,3995,,,AMOCAL,0,0,,,,55.4,0.52,1,,,,0,
37,C4,SA,3996,,,UMBCAL,0,1,,,,,0.79,0,,42.9,0,0,OG DEAD
38,C4,SA,3939,,,UMBCAL,0,0,,,,,0.89,0,,,,0,
39,C4,SA,4126,,,UMBCAL,0,0,,,,,,,,,,1,GONE
40,C4,TR,4000,,,HETARB,0,1,0,0,0,,,,3.1,,,0,
41,C4,TR,4000.1,,,HETARB,0,0,0,0,0,,,,1.9,,,0,
42,C4,TS,4000.2,,,HETARB,0,0,,,,,,,,,,1,GONE
43,C4,SA,3938,,,UMBCAL,0,0,,,,,0.5,1,,,,1,
44,C4,TR,3991,,,PSEMEN,0,0,0,0,0,,,,5.6,,,0,
45,C4,TR,3992,,,PSEMEN,1,0,0,1,2,,,,11,,,0,
46,C4,SA,3990,,,UMBCAL,1,1,,,,,15,0,,77.8,1,0,"EPICORMIC RECORDED ON DATA SHEET, NOT A DATA ENTRY MISTAKE"
47,C4,TR,3989,,,HETARB,0,0,0,0,0,,,,1.7,,,1,GONE
48,C4,TS,3989.1,,,HETARB,0,0,,,,,,,,,,1,GONE
49,C4,SA,3988,,,HETARB,0,0,,,,,,,,,,1,GONE
50,C4,TR,3998,,,PSEMEN,0,0,0,0,0,,,,2.7,,,0,
51,C4,SA,3999,,,HETARB,0,0,,,,,1.45,0,,,,0,
52,C4,TR,3997,,,QUEGAR,1,1,1,1,3,,,,20.6,91.6,8,0,
53,C4,SA,4105,,,AMOCAL,0,0,,,,,,,,,,0,
54,C4,SA,4125,,,QUEGAR,0,1,,,,,0.36,1,,38.6,0,0,OG DEAD
55,C4,SA,3944,,,AMOCAL,0,0,,,,,,,,,,1,GONE
